elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.002021,initializing,0,0,0,0,175308800
0.167259,building index: loading tuples,1852,63,0,1713,175497216
0.333633,building index: loading tuples,1852,118,0,3193,176574464
0.506906,building index: loading tuples,1852,171,0,4639,177922048
0.676622,building index: loading tuples,1852,222,0,5999,179499008
0.840821,building index: loading tuples,1852,269,0,7274,180097024
1.012027,building index: loading tuples,1852,317,0,8585,181444608
1.191632,building index: loading tuples,1852,330,0,8925,185090048
1.355261,building index: loading tuples,1852,341,0,9230,186040320
1.518146,building index: loading tuples,1852,352,0,9529,185974784
1.687852,building index: loading tuples,1852,364,0,9849,186224640
1.862465,building index: loading tuples,1852,375,0,10143,186863616
2.035483,building index: loading tuples,1852,386,0,10439,188055552
2.211174,building index: loading tuples,1852,398,0,10752,186687488
2.385393,building index: loading tuples,1852,408,0,11040,187592704
2.556053,building index: loading tuples,1852,420,0,11355,189161472
2.738478,building index: loading tuples,1852,431,0,11661,188796928
2.906853,building index: loading tuples,1852,442,0,11940,188137472
3.084131,building index: loading tuples,1852,453,0,12242,188887040
3.261359,building index: loading tuples,1852,463,0,12514,189116416
3.424512,building index: loading tuples,1852,473,0,12783,189329408
3.592303,building index: loading tuples,1852,483,0,13056,190013440
3.762029,building index: loading tuples,1852,493,0,13333,190226432
3.930769,building index: loading tuples,1852,503,0,13606,190410752
4.101538,building index: loading tuples,1852,514,0,13891,190701568
4.275847,building index: loading tuples,1852,525,0,14182,190734336
4.446934,building index: loading tuples,1852,535,0,14452,191057920
4.62317,building index: loading tuples,1852,545,0,14736,192032768
4.795346,building index: loading tuples,1852,556,0,15013,193544192
4.969434,building index: loading tuples,1852,565,0,15280,192110592
5.134847,building index: loading tuples,1852,575,0,15546,192532480
5.30727,building index: loading tuples,1852,585,0,15812,193777664
5.468803,building index: loading tuples,1852,595,0,16068,193798144
5.64134,building index: loading tuples,1852,605,0,16344,193720320
5.808906,building index: loading tuples,1852,615,0,16612,194211840
5.989977,building index: loading tuples,1852,626,0,16904,194441216
6.168223,building index: loading tuples,1852,636,0,17193,194314240
6.339088,building index: loading tuples,1852,646,0,17443,195620864
6.512039,building index: loading tuples,1852,655,0,17710,194973696
6.691809,building index: loading tuples,1852,666,0,17992,195330048
6.871789,building index: loading tuples,1852,675,0,18248,196751360
7.040469,building index: loading tuples,1852,685,0,18502,196268032
7.218232,building index: loading tuples,1852,694,0,18761,196665344
7.396116,building index: loading tuples,1852,704,0,19023,196898816
7.565473,building index: loading tuples,1852,713,0,19270,197074944
7.735457,building index: loading tuples,1852,723,0,19522,197357568
7.907341,building index: loading tuples,1852,732,0,19790,197677056
8.073399,building index: loading tuples,1852,742,0,20042,198889472
8.245304,building index: loading tuples,1852,750,0,20272,198340608
8.40901,building index: loading tuples,1852,759,0,20517,199315456
8.579834,building index: loading tuples,1852,769,0,20777,198737920
8.749979,building index: loading tuples,1852,778,0,21026,198746112
8.939288,building index: loading tuples,1852,787,0,21271,199909376
9.110094,building index: loading tuples,1852,797,0,21540,199630848
9.285434,building index: loading tuples,1852,807,0,21800,200454144
9.459944,building index: loading tuples,1852,817,0,22065,200450048
9.624572,building index: loading tuples,1852,826,0,22312,200830976
9.799101,building index: loading tuples,1852,835,0,22567,200560640
9.961499,building index: loading tuples,1852,844,0,22812,201584640
10.135762,building index: loading tuples,1852,854,0,23076,201023488
10.305598,building index: loading tuples,1852,862,0,23291,202272768
10.469901,building index: loading tuples,1852,871,0,23531,202043392
10.641787,building index: loading tuples,1852,881,0,23795,202473472
10.815339,building index: loading tuples,1852,890,0,24038,202756096
10.983114,building index: loading tuples,1852,898,0,24262,203071488
11.145312,building index: loading tuples,1852,907,0,24500,203087872
11.32104,building index: loading tuples,1852,916,0,24738,203194368
11.48522,building index: loading tuples,1852,924,0,24971,203599872
11.657605,building index: loading tuples,1852,933,0,25215,204115968
11.826528,building index: loading tuples,1852,942,0,25452,204365824
11.989828,building index: loading tuples,1852,951,0,25684,204427264
12.156057,building index: loading tuples,1852,960,0,25929,205549568
12.322283,building index: loading tuples,1852,968,0,26154,205144064
12.485421,building index: loading tuples,1852,977,0,26383,205336576
12.657302,building index: loading tuples,1852,986,0,26630,205312000
12.828603,building index: loading tuples,1852,995,0,26867,205516800
12.997976,building index: loading tuples,1852,1003,0,27099,205922304
13.168742,building index: loading tuples,1852,1012,0,27339,206467072
13.345333,building index: loading tuples,1852,1021,0,27583,206708736
13.520357,building index: loading tuples,1852,1029,0,27804,206872576
13.68944,building index: loading tuples,1852,1038,0,28046,207101952
13.861204,building index: loading tuples,1852,1047,0,28280,207855616
14.035948,building index: loading tuples,1852,1056,0,28526,207917056
14.210578,building index: loading tuples,1852,1065,0,28766,208449536
14.381451,building index: loading tuples,1852,1073,0,28997,208400384
14.561638,building index: loading tuples,1852,1082,0,29240,208297984
14.734822,building index: loading tuples,1852,1091,0,29483,208535552
14.911969,building index: loading tuples,1852,1100,0,29712,209010688
15.078599,building index: loading tuples,1852,1107,0,29913,210022400
15.241788,building index: loading tuples,1852,1116,0,30139,210063360
15.416705,building index: loading tuples,1852,1124,0,30372,209448960
15.589181,building index: loading tuples,1852,1133,0,30597,210313216
15.761027,building index: loading tuples,1852,1141,0,30820,211193856
15.934676,building index: loading tuples,1852,1150,0,31052,211107840
16.103508,building index: loading tuples,1852,1158,0,31272,210931712
16.26652,building index: loading tuples,1852,1166,0,31484,211234816
16.428568,building index: loading tuples,1852,1174,0,31701,210280448
16.595308,building index: loading tuples,1852,1181,0,31897,211034112
16.761905,building index: loading tuples,1852,1189,0,32116,211259392
16.931244,building index: loading tuples,1852,1198,0,32348,211410944
17.10786,building index: loading tuples,1852,1206,0,32582,212750336
17.280652,building index: loading tuples,1852,1214,0,32798,212447232
17.451697,building index: loading tuples,1852,1223,0,33030,213172224
17.618715,building index: loading tuples,1852,1231,0,33255,213024768
17.788586,building index: loading tuples,1852,1240,0,33480,213999616
17.958873,building index: loading tuples,1852,1247,0,33695,213962752
18.129994,building index: loading tuples,1852,1256,0,33928,213327872
18.303605,building index: loading tuples,1852,1264,0,34143,214450176
18.471971,building index: loading tuples,1852,1272,0,34369,214188032
18.645303,building index: loading tuples,1852,1281,0,34607,214249472
18.81672,building index: loading tuples,1852,1289,0,34822,215212032
18.982886,building index: loading tuples,1852,1297,0,35029,215785472
19.152909,building index: loading tuples,1852,1305,0,35237,215195648
19.321562,building index: loading tuples,1852,1312,0,35446,215310336
19.495101,building index: loading tuples,1852,1321,0,35673,216072192
19.661938,building index: loading tuples,1852,1328,0,35881,214605824
19.828621,building index: loading tuples,1852,1336,0,36093,216141824
19.991897,building index: loading tuples,1852,1344,0,36308,216436736
20.163169,building index: loading tuples,1852,1353,0,36532,216637440
20.338835,building index: loading tuples,1852,1361,0,36760,217194496
20.510774,building index: loading tuples,1852,1369,0,36982,217407488
20.675498,building index: loading tuples,1852,1377,0,37189,217464832
20.847426,building index: loading tuples,1852,1385,0,37403,217550848
21.019781,building index: loading tuples,1852,1393,0,37621,218193920
21.195205,building index: loading tuples,1852,1401,0,37840,218554368
21.36381,building index: loading tuples,1852,1409,0,38053,218992640
21.540568,building index: loading tuples,1852,1417,0,38276,219111424
21.709787,building index: loading tuples,1852,1425,0,38492,218857472
21.885063,building index: loading tuples,1852,1433,0,38713,220041216
22.055477,building index: loading tuples,1852,1442,0,38938,219635712
22.228611,building index: loading tuples,1852,1450,0,39151,219901952
22.395185,building index: loading tuples,1852,1457,0,39343,220090368
22.558839,building index: loading tuples,1852,1465,0,39555,220258304
22.732322,building index: loading tuples,1852,1473,0,39774,219803648
22.906222,building index: loading tuples,1852,1481,0,39987,220389376
23.080966,building index: loading tuples,1852,1488,0,40201,221396992
23.255815,building index: loading tuples,1852,1496,0,40405,221061120
23.424794,building index: loading tuples,1852,1504,0,40612,221253632
23.595223,building index: loading tuples,1852,1511,0,40811,222588928
23.766359,building index: loading tuples,1852,1519,0,41024,219893760
23.970862,building index: loading tuples,1852,1526,0,41226,222457856
24.136095,building index: loading tuples,1852,1534,0,41426,222806016
24.303197,building index: loading tuples,1852,1542,0,41639,223092736
24.464629,building index: loading tuples,1852,1549,0,41842,222806016
24.637086,building index: loading tuples,1852,1557,0,42055,223895552
24.80988,building index: loading tuples,1852,1565,0,42269,223109120
24.98366,building index: loading tuples,1852,1573,0,42486,225378304
25.154195,building index: loading tuples,1852,1580,0,42686,224026624
25.331679,building index: loading tuples,1852,1589,0,42911,224460800
25.508885,building index: loading tuples,1852,1597,0,43130,225280000
25.682765,building index: loading tuples,1852,1605,0,43342,224616448
25.856996,building index: loading tuples,1852,1613,0,43556,224677888
26.028513,building index: loading tuples,1852,1621,0,43772,226222080
26.200395,building index: loading tuples,1852,1628,0,43973,225533952
26.364832,building index: loading tuples,1852,1635,0,44170,225468416
26.536247,building index: loading tuples,1852,1643,0,44383,225329152
26.711836,building index: loading tuples,1852,1651,0,44578,225640448
26.877654,building index: loading tuples,1852,1658,0,44769,227078144
27.044574,building index: loading tuples,1852,1665,0,44969,224714752
27.219685,building index: loading tuples,1852,1673,0,45171,227786752
27.391948,building index: loading tuples,1852,1680,0,45375,227168256
27.564508,building index: loading tuples,1852,1688,0,45581,227270656
27.734838,building index: loading tuples,1852,1695,0,45786,227233792
27.909746,building index: loading tuples,1852,1703,0,46000,228339712
28.080643,building index: loading tuples,1852,1711,0,46210,228020224
28.262148,building index: loading tuples,1852,1719,0,46430,227893248
28.437622,building index: loading tuples,1852,1727,0,46635,228499456
28.611853,building index: loading tuples,1852,1735,0,46850,228630528
28.782611,building index: loading tuples,1852,1742,0,47043,228716544
28.954264,building index: loading tuples,1852,1749,0,47240,228921344
29.125493,building index: loading tuples,1852,1757,0,47441,229703680
29.294269,building index: loading tuples,1852,1764,0,47633,229560320
29.455595,building index: loading tuples,1852,1771,0,47829,229212160
29.628512,building index: loading tuples,1852,1779,0,48041,230064128
29.798578,building index: loading tuples,1852,1786,0,48234,230600704
29.964988,building index: loading tuples,1852,1793,0,48433,230117376
30.131563,building index: loading tuples,1852,1801,0,48636,231141376
30.306227,building index: loading tuples,1852,1809,0,48844,230866944
30.477941,building index: loading tuples,1852,1816,0,49041,230600704
30.651959,building index: loading tuples,1852,1823,0,49242,231845888
30.823289,building index: loading tuples,1852,1831,0,49442,232747008
30.990928,building index: loading tuples,1852,1838,0,49635,231854080
31.165991,building index: loading tuples,1852,1845,0,49832,232079360
31.340307,building index: loading tuples,1852,1852,0,50000,249384960
