elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.002053,building index: loading tuples,1852,1,0,34,178790400
0.175968,building index: loading tuples,1852,65,0,1758,179646464
0.343194,building index: loading tuples,1852,118,0,3210,180531200
0.513129,building index: loading tuples,1852,171,0,4628,182001664
0.687122,building index: loading tuples,1852,222,0,6019,184172544
0.861126,building index: loading tuples,1852,273,0,7378,184938496
1.030272,building index: loading tuples,1852,322,0,8702,185901056
1.203925,building index: loading tuples,1852,370,0,9993,187211776
1.372895,building index: loading tuples,1852,417,0,11265,188325888
1.544127,building index: loading tuples,1852,462,0,12494,189550592
1.71115,building index: loading tuples,1852,506,0,13674,190828544
1.875643,building index: loading tuples,1852,548,0,14804,192544768
2.040964,building index: loading tuples,1852,591,0,15973,193728512
2.211764,building index: loading tuples,1852,635,0,17153,194908160
2.390169,building index: loading tuples,1852,679,0,18343,196231168
2.562805,building index: loading tuples,1852,722,0,19497,196947968
2.742346,building index: loading tuples,1852,764,0,20648,197926912
2.914178,building index: loading tuples,1852,805,0,21740,198639616
3.088787,building index: loading tuples,1852,847,0,22880,199831552
3.261481,building index: loading tuples,1852,887,0,23955,201359360
3.438717,building index: loading tuples,1852,928,0,25070,203255808
3.612563,building index: loading tuples,1852,966,0,26103,203403264
3.783996,building index: loading tuples,1852,1003,0,27100,204480512
3.960688,building index: loading tuples,1852,1041,0,28117,205430784
4.135391,building index: loading tuples,1852,1077,0,29101,206151680
4.306614,building index: loading tuples,1852,1114,0,30087,207196160
4.475624,building index: loading tuples,1852,1149,0,31031,208359424
4.642304,building index: loading tuples,1852,1184,0,31977,208080896
4.818072,building index: loading tuples,1852,1219,0,32914,211935232
4.988225,building index: loading tuples,1852,1254,0,33876,210509824
5.15897,building index: loading tuples,1852,1290,0,34850,211656704
5.335012,building index: loading tuples,1852,1327,0,35831,212267008
5.513442,building index: loading tuples,1852,1366,0,36891,213307392
5.707249,building index: loading tuples,1852,1403,0,37887,215027712
5.878702,building index: loading tuples,1852,1436,0,38787,216489984
6.050827,building index: loading tuples,1852,1472,0,39745,217333760
6.21952,building index: loading tuples,1852,1503,0,40600,110518272
6.394444,building index: loading tuples,1852,1538,0,41533,110555136
6.575033,building index: loading tuples,1852,1572,0,42468,111386624
6.745495,building index: loading tuples,1852,1605,0,43360,112738304
6.921115,building index: loading tuples,1852,1640,0,44282,113291264
7.09165,building index: loading tuples,1852,1674,0,45203,115044352
7.263119,building index: loading tuples,1852,1706,0,46073,114905088
7.432416,building index: loading tuples,1852,1739,0,46974,116338688
7.612744,building index: loading tuples,1852,1774,0,47899,116781056
7.784663,building index: loading tuples,1852,1805,0,48748,118202368
7.954072,building index: loading tuples,1852,1838,0,49640,118407168
8.123528,building index: loading tuples,1852,1852,0,50000,167460864
