elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.001977,building index: loading tuples in memory,1852,1,0,44,175513600
0.165216,building index: loading tuples in memory,1852,64,0,1751,174014464
0.338436,building index: loading tuples in memory,1852,118,0,3209,177463296
0.497884,building index: loading tuples in memory,1852,168,0,4552,178798592
0.665248,building index: loading tuples in memory,1852,219,0,5921,179826688
0.839953,building index: loading tuples in memory,1852,271,0,7329,181374976
1.011586,building index: loading tuples in memory,1852,318,0,8609,182956032
1.179031,building index: loading tuples in memory,1852,363,0,9820,183762944
1.34859,building index: loading tuples in memory,1852,408,0,11042,184832000
1.517181,building index: loading tuples in memory,1852,452,0,12224,186085376
1.683226,building index: loading tuples in memory,1852,499,0,13492,187236352
1.85834,building index: loading tuples in memory,1852,542,0,14639,188428288
2.031545,building index: loading tuples in memory,1852,585,0,15813,189300736
2.198589,building index: loading tuples in memory,1852,627,0,16947,190697472
2.37473,building index: loading tuples in memory,1852,671,0,18143,191619072
2.548564,building index: loading tuples in memory,1852,713,0,19251,192950272
2.723358,building index: loading tuples in memory,1852,754,0,20365,194150400
2.894807,building index: loading tuples in memory,1852,794,0,21438,194973696
3.068855,building index: loading tuples in memory,1852,833,0,22491,196071424
3.24038,building index: loading tuples in memory,1852,871,0,23542,197730304
3.411301,building index: loading tuples in memory,1852,911,0,24622,197627904
3.58905,building index: loading tuples in memory,1852,948,0,25620,199004160
3.761392,building index: loading tuples in memory,1852,985,0,26618,199864320
3.92776,building index: loading tuples in memory,1852,1019,0,27532,199110656
4.092651,building index: loading tuples in memory,1852,1051,0,28386,202199040
4.262515,building index: loading tuples in memory,1852,1087,0,29354,202436608
4.431886,building index: loading tuples in memory,1852,1121,0,30278,203575296
4.603304,building index: loading tuples in memory,1852,1156,0,31224,204824576
4.768946,building index: loading tuples in memory,1852,1191,0,32181,205631488
4.946781,building index: loading tuples in memory,1852,1229,0,33186,206499840
5.119534,building index: loading tuples in memory,1852,1264,0,34128,206589952
5.293947,building index: loading tuples in memory,1852,1299,0,35083,207708160
5.463786,building index: loading tuples in memory,1852,1333,0,36015,208850944
5.635971,building index: loading tuples in memory,1852,1369,0,36967,209997824
5.805353,building index: loading tuples in memory,1852,1402,0,37872,211111936
5.980709,building index: loading tuples in memory,1852,1438,0,38840,211759104
6.149962,building index: loading tuples in memory,1852,1471,0,39735,213549056
6.325078,building index: loading tuples in memory,1852,1506,0,40686,214052864
6.494697,building index: loading tuples in memory,1852,1538,0,41549,215097344
6.667625,building index: loading tuples in memory,1852,1572,0,42451,216199168
6.836261,building index: loading tuples in memory,1852,1605,0,43348,216596480
7.009677,building index: loading tuples in memory,1852,1639,0,44253,217444352
7.179959,building index: loading tuples in memory,1852,1672,0,45153,218505216
7.358127,building index: loading tuples in memory,1852,1706,0,46088,219709440
7.53825,building index: loading tuples in memory,1852,1739,0,46963,220008448
7.711368,building index: loading tuples in memory,1852,1771,0,47824,221048832
7.884782,building index: loading tuples in memory,1852,1804,0,48720,221536256
8.055348,building index: loading tuples in memory,1852,1834,0,49544,222060544
8.227037,building index: writing index pages to WAL,1852,1852,0,50000,248995840
