elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.001969,building index: loading tuples in memory,1852,1,0,34,173678592
0.172317,building index: loading tuples in memory,1852,65,0,1757,173514752
0.347592,building index: loading tuples in memory,1852,115,0,3121,174735360
0.514234,building index: loading tuples in memory,1852,169,0,4569,177246208
0.686485,building index: loading tuples in memory,1852,219,0,5922,178044928
0.857417,building index: loading tuples in memory,1852,269,0,7266,179499008
1.034112,building index: loading tuples in memory,1852,318,0,8596,180310016
1.207102,building index: loading tuples on disk,1852,330,0,8923,183865344
1.379042,building index: loading tuples on disk,1852,342,0,9251,183902208
1.545641,building index: loading tuples on disk,1852,354,0,9560,185118720
1.715624,building index: loading tuples on disk,1852,365,0,9866,184913920
1.880916,building index: loading tuples on disk,1852,376,0,10156,184524800
2.056945,building index: loading tuples on disk,1852,387,0,10466,184721408
2.226076,building index: loading tuples on disk,1852,398,0,10768,185151488
2.39759,building index: loading tuples on disk,1852,410,0,11086,185610240
2.570629,building index: loading tuples on disk,1852,422,0,11397,186208256
2.744826,building index: loading tuples on disk,1852,433,0,11712,185987072
2.918035,building index: loading tuples on disk,1852,444,0,12013,187146240
3.083951,building index: loading tuples on disk,1852,455,0,12308,187510784
3.257162,building index: loading tuples on disk,1852,467,0,12613,187817984
3.429717,building index: loading tuples on disk,1852,478,0,12915,188157952
3.599006,building index: loading tuples on disk,1852,489,0,13204,188755968
3.761867,building index: loading tuples on disk,1852,499,0,13484,189370368
3.932815,building index: loading tuples on disk,1852,510,0,13784,189603840
4.097609,building index: loading tuples on disk,1852,521,0,14067,189734912
4.264073,building index: loading tuples on disk,1852,530,0,14335,190152704
4.431678,building index: loading tuples on disk,1852,541,0,14623,190119936
4.602809,building index: loading tuples on disk,1852,552,0,14920,191049728
4.773267,building index: loading tuples on disk,1852,563,0,15221,190689280
4.948006,building index: loading tuples on disk,1852,574,0,15516,190566400
5.126479,building index: loading tuples on disk,1852,585,0,15814,191692800
5.296873,building index: loading tuples on disk,1852,596,0,16094,191287296
5.466402,building index: loading tuples on disk,1852,606,0,16374,192184320
5.636848,building index: loading tuples on disk,1852,616,0,16649,191471616
5.803735,building index: loading tuples on disk,1852,626,0,16907,191901696
5.974438,building index: loading tuples on disk,1852,636,0,17174,192856064
6.149742,building index: loading tuples on disk,1852,645,0,17426,193036288
6.325773,building index: loading tuples on disk,1852,654,0,17678,193646592
6.499743,building index: loading tuples on disk,1852,664,0,17930,194207744
6.666439,building index: loading tuples on disk,1852,673,0,18174,193548288
6.840243,building index: loading tuples on disk,1852,682,0,18433,194134016
7.013182,building index: loading tuples on disk,1852,692,0,18684,194863104
7.191586,building index: loading tuples on disk,1852,701,0,18934,194572288
7.364237,building index: loading tuples on disk,1852,710,0,19175,195526656
7.539373,building index: loading tuples on disk,1852,719,0,19417,195612672
7.714228,building index: loading tuples on disk,1852,727,0,19650,195379200
7.88687,building index: loading tuples on disk,1852,736,0,19881,195739648
8.059993,building index: loading tuples on disk,1852,745,0,20118,196739072
8.234121,building index: loading tuples on disk,1852,752,0,20328,196272128
8.40996,building index: loading tuples on disk,1852,761,0,20548,195796992
8.582887,building index: loading tuples on disk,1852,769,0,20782,196145152
8.763303,building index: loading tuples on disk,1852,778,0,21026,197152768
8.939543,building index: loading tuples on disk,1852,787,0,21257,197070848
9.114211,building index: loading tuples on disk,1852,795,0,21491,197533696
9.290019,building index: loading tuples on disk,1852,803,0,21706,198111232
9.464219,building index: loading tuples on disk,1852,811,0,21922,198582272
9.640623,building index: loading tuples on disk,1852,820,0,22158,199008256
9.816814,building index: loading tuples on disk,1852,829,0,22388,199172096
9.990332,building index: loading tuples on disk,1852,837,0,22621,198344704
10.172971,building index: loading tuples on disk,1852,846,0,22858,197181440
10.347541,building index: loading tuples on disk,1852,854,0,23084,198758400
10.525393,building index: loading tuples on disk,1852,863,0,23321,199663616
10.69714,building index: loading tuples on disk,1852,872,0,23546,199282688
10.874481,building index: loading tuples on disk,1852,881,0,23787,202289152
11.046883,building index: loading tuples on disk,1852,889,0,24024,200327168
11.226903,building index: loading tuples on disk,1852,898,0,24248,201113600
11.397537,building index: loading tuples on disk,1852,907,0,24490,201510912
11.576711,building index: loading tuples on disk,1852,915,0,24726,201576448
11.753945,building index: loading tuples on disk,1852,924,0,24955,202350592
11.926806,building index: loading tuples on disk,1852,932,0,25176,201883648
12.097545,building index: loading tuples on disk,1852,940,0,25384,202784768
12.264207,building index: loading tuples on disk,1852,947,0,25591,202776576
12.4381,building index: loading tuples on disk,1852,956,0,25817,202559488
12.60998,building index: loading tuples on disk,1852,964,0,26045,202612736
12.779601,building index: loading tuples on disk,1852,972,0,26267,203665408
12.954375,building index: loading tuples on disk,1852,981,0,26493,203780096
13.130823,building index: loading tuples on disk,1852,990,0,26731,203972608
13.310779,building index: loading tuples on disk,1852,998,0,26965,203939840
13.488107,building index: loading tuples on disk,1852,1007,0,27191,204517376
13.66458,building index: loading tuples on disk,1852,1015,0,27428,204460032
13.835639,building index: loading tuples on disk,1852,1023,0,27645,205422592
14.009937,building index: loading tuples on disk,1852,1032,0,27883,205185024
14.180621,building index: loading tuples on disk,1852,1040,0,28088,205291520
14.34875,building index: loading tuples on disk,1852,1048,0,28301,205664256
14.526959,building index: loading tuples on disk,1852,1056,0,28536,205885440
14.70432,building index: loading tuples on disk,1852,1065,0,28758,206618624
14.876254,building index: loading tuples on disk,1852,1073,0,28992,207171584
15.047492,building index: loading tuples on disk,1852,1082,0,29215,206524416
15.218405,building index: loading tuples on disk,1852,1090,0,29431,207388672
15.392492,building index: loading tuples on disk,1852,1098,0,29656,207134720
15.56629,building index: loading tuples on disk,1852,1106,0,29886,207790080
15.741122,building index: loading tuples on disk,1852,1115,0,30105,207790080
15.910002,building index: loading tuples on disk,1852,1123,0,30321,206495744
16.079352,building index: loading tuples on disk,1852,1130,0,30535,208875520
16.250329,building index: loading tuples on disk,1852,1138,0,30749,207781888
16.422301,building index: loading tuples on disk,1852,1147,0,30974,208482304
16.596761,building index: loading tuples on disk,1852,1155,0,31210,208748544
16.774749,building index: loading tuples on disk,1852,1163,0,31416,208805888
16.94415,building index: loading tuples on disk,1852,1171,0,31622,209620992
17.111186,building index: loading tuples on disk,1852,1178,0,31830,209911808
17.282399,building index: loading tuples on disk,1852,1186,0,32046,210382848
17.459118,building index: loading tuples on disk,1852,1195,0,32268,208752640
17.631454,building index: loading tuples on disk,1852,1203,0,32490,210751488
17.80662,building index: loading tuples on disk,1852,1211,0,32714,210501632
17.98217,building index: loading tuples on disk,1852,1219,0,32936,211116032
18.152461,building index: loading tuples on disk,1852,1227,0,33142,211587072
18.320973,building index: loading tuples on disk,1852,1235,0,33349,212041728
18.492482,building index: loading tuples on disk,1852,1243,0,33566,212590592
18.667506,building index: loading tuples on disk,1852,1251,0,33778,211931136
