elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.001867,building index: loading tuples in memory,213,213,0,40,161931264
0.084814,building index: loading tuples in memory,213,20,0,985,161038336
0.164484,building index: loading tuples on disk,213,30,0,1419,163332096
0.243804,building index: loading tuples on disk,213,35,0,1687,163401728
0.326278,building index: loading tuples on disk,213,41,0,1971,163684352
0.423092,building index: loading tuples on disk,213,47,0,2221,164495360
0.507274,building index: loading tuples on disk,213,52,0,2459,164499456
0.588314,building index: loading tuples on disk,213,57,0,2689,164413440
0.668108,building index: loading tuples on disk,213,62,0,2921,165150720
0.749544,building index: loading tuples on disk,213,66,0,3147,164904960
0.827354,building index: loading tuples on disk,213,71,0,3359,165584896
0.906471,building index: loading tuples on disk,213,76,0,3576,165580800
0.985865,building index: loading tuples on disk,213,80,0,3798,165310464
1.064578,building index: loading tuples on disk,213,85,0,4006,166203392
1.14433,building index: loading tuples on disk,213,89,0,4220,165351424
1.224756,building index: loading tuples on disk,213,94,0,4435,165941248
1.306898,building index: loading tuples on disk,213,98,0,4652,165568512
1.391129,building index: loading tuples on disk,213,103,0,4863,164409344
1.474438,building index: loading tuples on disk,213,107,0,5071,166002688
1.55649,building index: loading tuples on disk,213,112,0,5277,166670336
1.637136,building index: loading tuples on disk,213,116,0,5481,166477824
1.71943,building index: loading tuples on disk,213,120,0,5685,166572032
1.802266,building index: loading tuples on disk,213,125,0,5881,166846464
1.883359,building index: loading tuples on disk,213,129,0,6076,167034880
1.961099,building index: loading tuples on disk,213,133,0,6271,167120896
2.041174,building index: loading tuples on disk,213,137,0,6473,167428096
2.125494,building index: loading tuples on disk,213,141,0,6672,168058880
2.208,building index: loading tuples on disk,213,146,0,6865,168120320
2.291146,building index: loading tuples on disk,213,150,0,7053,168853504
2.369442,building index: loading tuples on disk,213,154,0,7253,168869888
2.45366,building index: loading tuples on disk,213,158,0,7442,168574976
2.534238,building index: loading tuples on disk,213,162,0,7631,168448000
2.612436,building index: loading tuples on disk,213,166,0,7817,168960000
2.691101,building index: loading tuples on disk,213,170,0,7998,169541632
2.769759,building index: loading tuples on disk,213,174,0,8183,169086976
2.851629,building index: loading tuples on disk,213,178,0,8371,169250816
2.930068,building index: loading tuples on disk,213,182,0,8554,169877504
3.009329,building index: loading tuples on disk,213,185,0,8740,169201664
3.090465,building index: loading tuples on disk,213,189,0,8924,169824256
3.174339,building index: loading tuples on disk,213,193,0,9105,169840640
3.254677,building index: loading tuples on disk,213,197,0,9293,168411136
3.336929,building index: loading tuples on disk,213,201,0,9470,170164224
3.413561,building index: loading tuples on disk,213,205,0,9648,170893312
3.492564,building index: loading tuples on disk,213,209,0,9825,170479616
