elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.001809,building index: loading tuples in memory,0,0,0,0,144965632
0.082714,building index: loading tuples in memory,741,85,0,2283,146710528
0.171681,building index: loading tuples in memory,741,157,0,4229,147509248
0.25424,building index: loading tuples on disk,741,181,0,4889,152834048
0.340817,building index: loading tuples on disk,741,199,0,5376,152891392
0.427599,building index: loading tuples on disk,741,215,0,5841,153534464
0.511215,building index: loading tuples on disk,741,233,0,6335,155348992
0.60048,building index: loading tuples on disk,741,251,0,6825,154746880
0.688881,building index: loading tuples on disk,741,272,0,7321,155168768
0.777269,building index: loading tuples on disk,741,287,0,7774,156274688
0.863146,building index: loading tuples on disk,741,304,0,8223,156528640
0.946195,building index: loading tuples on disk,741,321,0,8679,156643328
1.032037,building index: loading tuples on disk,741,339,0,9149,157073408
1.123941,building index: loading tuples on disk,741,354,0,9605,158695424
1.21164,building index: loading tuples on disk,741,372,0,10050,158142464
1.295357,building index: loading tuples on disk,741,387,0,10483,158625792
1.381718,building index: loading tuples on disk,741,404,0,10906,159555584
1.508825,building index: loading tuples on disk,741,420,0,11354,159629312
1.596488,building index: loading tuples on disk,741,438,0,11779,158584832
1.682793,building index: loading tuples on disk,741,453,0,12224,161161216
1.771452,building index: loading tuples on disk,741,466,0,12640,161611776
1.856016,building index: loading tuples on disk,741,484,0,13057,161570816
1.943781,building index: loading tuples on disk,741,499,0,13500,162033664
2.033454,building index: loading tuples on disk,741,517,0,13932,163635200
2.120452,building index: loading tuples on disk,741,532,0,14377,164085760
2.215567,building index: loading tuples on disk,741,549,0,14798,164958208
2.302896,building index: loading tuples on disk,741,563,0,15226,165183488
2.391038,building index: loading tuples on disk,741,578,0,15646,165556224
2.482165,building index: loading tuples on disk,741,596,0,16065,165593088
2.56894,building index: loading tuples on disk,741,611,0,16493,164114432
2.660758,building index: loading tuples on disk,741,626,0,16911,166227968
2.749493,building index: loading tuples on disk,741,639,0,17325,166981632
2.838272,building index: loading tuples on disk,741,654,0,17726,167292928
2.924975,building index: loading tuples on disk,741,669,0,18124,168796160
3.011024,building index: loading tuples on disk,741,684,0,18527,168837120
3.102372,building index: loading tuples on disk,741,702,0,18931,168861696
3.188735,building index: loading tuples on disk,741,714,0,19318,168820736
3.278792,building index: loading tuples on disk,741,732,0,19732,169619456
3.373966,building index: writing index pages to WAL,741,741,0,20000,178020352
