elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.001802,building index: loading tuples in memory,3704,1,0,34,222871552
0.086951,building index: loading tuples in memory,3704,34,0,930,221442048
0.16846,building index: loading tuples in memory,3704,62,0,1691,221241344
0.249342,building index: loading tuples in memory,3704,89,0,2422,104878080
0.337124,building index: loading tuples in memory,3704,114,0,3087,104701952
0.414557,building index: loading tuples in memory,3704,138,0,3743,105033728
0.49884,building index: loading tuples in memory,3704,162,0,4378,106381312
0.578168,building index: loading tuples in memory,3704,185,0,5012,107671552
0.660262,building index: loading tuples in memory,3704,208,0,5632,107274240
0.741889,building index: loading tuples in memory,3704,231,0,6245,108072960
0.821702,building index: loading tuples in memory,3704,253,0,6850,108679168
0.901905,building index: loading tuples in memory,3704,275,0,7448,108666880
0.980937,building index: loading tuples in memory,3704,298,0,8051,110014464
1.068957,building index: loading tuples in memory,3704,319,0,8626,110796800
1.148963,building index: loading tuples in memory,3704,340,0,9192,111218688
1.22999,building index: loading tuples in memory,3704,361,0,9762,112128000
1.310765,building index: loading tuples in memory,3704,382,0,10333,112201728
1.392916,building index: loading tuples in memory,3704,403,0,10897,112566272
1.476834,building index: loading tuples in memory,3704,423,0,11446,113602560
1.560204,building index: loading tuples in memory,3704,444,0,12008,113508352
1.644755,building index: loading tuples in memory,3704,465,0,12560,113410048
1.72749,building index: loading tuples in memory,3704,485,0,13104,115027968
1.807929,building index: loading tuples in memory,3704,504,0,13632,115568640
1.888477,building index: loading tuples in memory,3704,525,0,14185,115834880
1.971588,building index: loading tuples in memory,3704,545,0,14726,116789248
2.055373,building index: loading tuples in memory,3704,564,0,15245,116690944
2.137208,building index: loading tuples in memory,3704,583,0,15765,117194752
2.218689,building index: loading tuples in memory,3704,602,0,16267,118259712
2.298443,building index: loading tuples in memory,3704,621,0,16768,118493184
2.380967,building index: loading tuples in memory,3704,640,0,17281,118927360
2.463235,building index: loading tuples in memory,3704,658,0,17769,119717888
2.542935,building index: loading tuples in memory,3704,676,0,18255,121397248
2.621973,building index: loading tuples in memory,3704,693,0,18715,120590336
2.704723,building index: loading tuples in memory,3704,711,0,19216,120737792
2.787142,building index: loading tuples in memory,3704,729,0,19692,121335808
2.868874,building index: loading tuples in memory,3704,747,0,20171,121409536
2.950444,building index: loading tuples in memory,3704,765,0,20662,121311232
3.03772,building index: loading tuples in memory,3704,783,0,21149,122429440
3.12384,building index: loading tuples in memory,3704,799,0,21593,122912768
3.209816,building index: loading tuples in memory,3704,817,0,22069,123170816
3.29515,building index: loading tuples in memory,3704,835,0,22547,123584512
3.37838,building index: loading tuples in memory,3704,851,0,22982,124727296
3.458696,building index: loading tuples in memory,3704,869,0,23464,124907520
3.542913,building index: loading tuples in memory,3704,886,0,23934,124874752
3.628021,building index: loading tuples in memory,3704,903,0,24383,125530112
3.709492,building index: loading tuples in memory,3704,919,0,24834,127123456
3.790899,building index: loading tuples in memory,3704,936,0,25272,127406080
3.874077,building index: loading tuples in memory,3704,951,0,25702,127008768
3.960835,building index: loading tuples in memory,3704,967,0,26130,127700992
4.045334,building index: loading tuples in memory,3704,985,0,26601,128000000
4.130901,building index: loading tuples in memory,3704,1002,0,27061,128765952
4.215066,building index: loading tuples in memory,3704,1017,0,27484,129163264
4.295822,building index: loading tuples in memory,3704,1034,0,27928,129208320
4.380694,building index: loading tuples in memory,3704,1050,0,28376,129810432
4.463162,building index: loading tuples in memory,3704,1066,0,28794,130437120
4.542619,building index: loading tuples in memory,3704,1082,0,29235,130867200
4.629997,building index: loading tuples in memory,3704,1098,0,29664,131342336
4.714234,building index: loading tuples in memory,3704,1115,0,30111,131596288
4.797573,building index: loading tuples in memory,3704,1130,0,30533,131325952
4.880007,building index: loading tuples in memory,3704,1147,0,30984,132382720
4.964811,building index: loading tuples in memory,3704,1163,0,31412,132182016
5.047315,building index: loading tuples in memory,3704,1179,0,31835,132669440
5.134052,building index: loading tuples in memory,3704,1195,0,32273,132825088
5.220492,building index: loading tuples in memory,3704,1211,0,32720,133443584
5.312056,building index: loading tuples in memory,3704,1227,0,33138,133758976
5.394557,building index: loading tuples in memory,3704,1243,0,33585,135540736
5.480926,building index: loading tuples in memory,3704,1259,0,34010,134733824
5.564899,building index: loading tuples in memory,3704,1275,0,34439,135942144
5.647786,building index: loading tuples in memory,3704,1290,0,34832,135380992
5.729909,building index: loading tuples in memory,3704,1305,0,35253,135520256
5.813883,building index: loading tuples in memory,3704,1321,0,35671,136105984
5.897591,building index: loading tuples in memory,3704,1337,0,36113,136220672
5.981621,building index: loading tuples in memory,3704,1352,0,36517,137179136
6.065613,building index: loading tuples in memory,3704,1368,0,36940,138342400
6.14904,building index: loading tuples in memory,3704,1383,0,37341,137863168
6.230979,building index: loading tuples in memory,3704,1398,0,37749,138678272
6.310786,building index: loading tuples in memory,3704,1412,0,38144,138567680
6.391119,building index: loading tuples in memory,3704,1427,0,38538,138784768
6.473269,building index: loading tuples in memory,3704,1442,0,38949,137527296
6.55854,building index: loading tuples in memory,3704,1457,0,39344,140070912
6.64241,building index: loading tuples in memory,3704,1473,0,39774,140640256
6.733026,building index: loading tuples in memory,3704,1487,0,40174,140845056
6.815406,building index: loading tuples in memory,3704,1502,0,40578,142315520
6.897556,building index: loading tuples in memory,3704,1518,0,40996,142770176
6.98323,building index: loading tuples in memory,3704,1533,0,41405,143151104
7.065425,building index: loading tuples in memory,3704,1548,0,41801,142524416
7.14762,building index: loading tuples in memory,3704,1563,0,42211,143732736
7.230924,building index: loading tuples in memory,3704,1577,0,42601,143110144
7.31072,building index: loading tuples in memory,3704,1592,0,42988,143564800
7.393844,building index: loading tuples in memory,3704,1606,0,43384,144556032
