elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.002045,building index: loading tuples in memory,741,1,0,46,145653760
0.098223,building index: loading tuples in memory,741,73,0,1992,143888384
0.218044,building index: loading tuples in memory,741,132,0,3635,143908864
0.351453,building index: loading tuples on disk,741,168,0,4551,149938176
0.520456,building index: loading tuples on disk,741,181,0,4897,147812352
0.648101,building index: loading tuples on disk,741,194,0,5231,150319104
0.785267,building index: loading tuples on disk,741,205,0,5543,150507520
0.922402,building index: loading tuples on disk,741,216,0,5858,149200896
1.065431,building index: loading tuples on disk,741,228,0,6145,149688320
1.25592,building index: loading tuples on disk,741,237,0,6431,150122496
1.441122,building index: loading tuples on disk,741,249,0,6704,150032384
1.618921,building index: loading tuples on disk,741,258,0,6974,150859776
1.784897,building index: loading tuples on disk,741,267,0,7255,150953984
1.956698,building index: loading tuples on disk,741,279,0,7525,151535616
2.144838,building index: loading tuples on disk,741,288,0,7793,154304512
2.312566,building index: loading tuples on disk,741,297,0,8052,151666688
2.481165,building index: loading tuples on disk,741,309,0,8320,153808896
2.652137,building index: loading tuples on disk,741,318,0,8594,152317952
2.816892,building index: loading tuples on disk,741,327,0,8868,152756224
2.975172,building index: loading tuples on disk,741,339,0,9152,154836992
3.123317,building index: loading tuples on disk,741,348,0,9440,155144192
3.2667,building index: loading tuples on disk,741,360,0,9721,155168768
3.407045,building index: loading tuples on disk,741,369,0,10011,155361280
3.548752,building index: loading tuples on disk,741,381,0,10310,156020736
3.686018,building index: loading tuples on disk,741,393,0,10605,156119040
3.824976,building index: loading tuples on disk,741,402,0,10884,156618752
3.968136,building index: loading tuples on disk,741,414,0,11168,158056448
4.114909,building index: loading tuples on disk,741,423,0,11444,157626368
4.253424,building index: loading tuples on disk,741,435,0,11721,157659136
4.396171,building index: loading tuples on disk,741,444,0,12000,156909568
4.543167,building index: loading tuples on disk,741,456,0,12268,158613504
4.68634,building index: loading tuples on disk,741,465,0,12521,157372416
4.856546,building index: loading tuples on disk,741,474,0,12780,157151232
5.009646,building index: loading tuples on disk,741,483,0,13057,159997952
5.159327,building index: loading tuples on disk,741,493,0,13337,158273536
5.309485,building index: loading tuples on disk,741,503,0,13591,159727616
5.471936,building index: loading tuples on disk,741,511,0,13806,160428032
5.676544,building index: loading tuples on disk,741,520,0,14071,160444416
5.835244,building index: loading tuples on disk,741,529,0,14351,159166464
5.991761,building index: loading tuples on disk,741,541,0,14609,161337344
6.136714,building index: loading tuples on disk,741,550,0,14867,161636352
6.283776,building index: loading tuples on disk,741,559,0,15126,160235520
6.429432,building index: loading tuples on disk,741,568,0,15385,163016704
6.578648,building index: loading tuples on disk,741,580,0,15659,162418688
6.732767,building index: loading tuples on disk,741,589,0,15909,161021952
6.888413,building index: loading tuples on disk,741,598,0,16154,161259520
7.048311,building index: loading tuples on disk,741,607,0,16410,161939456
7.211928,building index: loading tuples on disk,741,616,0,16662,162443264
7.377505,building index: loading tuples on disk,741,625,0,16917,163942400
7.538074,building index: loading tuples on disk,741,634,0,17170,164757504
7.691623,building index: loading tuples on disk,741,646,0,17426,164376576
7.845396,building index: loading tuples on disk,741,655,0,17670,164773888
7.997087,building index: loading tuples on disk,741,664,0,17925,164720640
8.156322,building index: loading tuples on disk,741,673,0,18172,164691968
8.306028,building index: loading tuples on disk,741,682,0,18423,165683200
8.453475,building index: loading tuples on disk,741,691,0,18673,165523456
8.605533,building index: loading tuples on disk,741,700,0,18919,166244352
8.753283,building index: loading tuples on disk,741,709,0,19173,166531072
8.90097,building index: loading tuples on disk,741,718,0,19404,166588416
9.110883,building index: loading tuples on disk,741,727,0,19636,167350272
9.263536,building index: loading tuples on disk,741,736,0,19878,166961152
