elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.01619,building index: loading tuples in memory,0,0,0,0,279199744
0.355138,building index: loading tuples in memory,1852,81,0,2188,447172608
0.692337,building index: loading tuples in memory,1852,147,0,3983,447524864
1.043001,building index: loading tuples in memory,1852,205,0,5538,446939136
1.416851,building index: loading tuples in memory,1852,254,0,6865,447188992
1.76163,building index: loading tuples in memory,1852,298,0,8069,448081920
2.100861,building index: loading tuples in memory,1852,341,0,9262,447713280
2.530209,building index: loading tuples in memory,1852,374,0,10116,449142784
2.940132,building index: loading tuples in memory,1852,416,0,11241,446676992
3.290282,building index: loading tuples in memory,1852,452,0,12220,447467520
3.741939,building index: loading tuples in memory,1852,492,0,13265,447430656
4.175077,building index: loading tuples in memory,1852,528,0,14238,447459328
4.567571,building index: loading tuples in memory,1852,560,0,15119,447524864
4.963488,building index: loading tuples in memory,1852,590,0,15930,447619072
5.358589,building index: loading tuples in memory,1852,621,0,16807,447160320
5.746825,building index: loading tuples in memory,1852,657,0,17710,447336448
6.10759,building index: loading tuples in memory,1852,687,0,18517,447397888
6.450771,building index: loading tuples in memory,1852,723,0,19490,447287296
6.800537,building index: loading tuples in memory,1852,759,0,20511,447643648
7.138524,building index: loading tuples in memory,1852,798,0,21596,447815680
7.500255,building index: loading tuples in memory,1852,835,0,22558,447610880
7.865334,building index: loading tuples in memory,1852,869,0,23444,447545344
8.302854,building index: loading tuples in memory,1852,899,0,24263,447295488
8.739029,building index: loading tuples in memory,1852,929,0,25135,447369216
9.099486,building index: loading tuples in memory,1852,965,0,26092,447692800
9.442826,building index: loading tuples in memory,1852,1001,0,27059,447623168
9.763998,building index: loading tuples in memory,1852,1037,0,28041,447254528
10.13294,building index: loading tuples in memory,1852,1062,0,28699,447156224
10.542196,building index: loading tuples in memory,1852,1095,0,29559,448946176
10.902678,building index: loading tuples in memory,1852,1129,0,30496,447111168
11.242709,building index: loading tuples in memory,1852,1163,0,31452,447406080
11.596969,building index: loading tuples in memory,1852,1199,0,32405,447942656
11.938396,building index: loading tuples in memory,1852,1237,0,33408,447725568
12.280446,building index: loading tuples in memory,1852,1274,0,34357,447815680
12.613711,building index: loading tuples in memory,1852,1307,0,35247,447524864
12.93021,building index: loading tuples in memory,1852,1340,0,36135,447504384
13.268197,building index: loading tuples in memory,1852,1369,0,36955,447578112
13.607714,building index: loading tuples in memory,1852,1395,0,37691,447840256
14.06341,building index: loading tuples in memory,1852,1425,0,38506,447586304
14.495249,building index: loading tuples in memory,1852,1452,0,39215,447565824
14.946896,building index: loading tuples in memory,1852,1475,0,39841,447188992
15.395371,building index: loading tuples in memory,1852,1499,0,40496,447729664
15.796784,building index: loading tuples in memory,1852,1529,0,41322,447475712
16.171846,building index: loading tuples in memory,1852,1556,0,42049,447791104
16.527928,building index: loading tuples in memory,1852,1582,0,42751,447442944
16.92217,building index: loading tuples in memory,1852,1612,0,43531,447823872
17.296771,building index: loading tuples in memory,1852,1642,0,44328,447475712
17.656333,building index: loading tuples in memory,1852,1671,0,45094,447143936
18.015176,building index: loading tuples in memory,1852,1700,0,45881,447983616
18.355093,building index: loading tuples in memory,1852,1724,0,46536,447672320
18.84043,building index: loading tuples in memory,1852,1751,0,47305,447823872
19.213479,building index: loading tuples in memory,1852,1784,0,48133,448229376
19.622731,building index: loading tuples in memory,1852,1810,0,48931,447881216
20.037209,building index: loading tuples in memory,1852,1841,0,49708,447758336
20.415436,building index: flushing in-memory graph,1852,1852,0,49976,394199040
