elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.006339,building index: loading tuples,0,0,0,0,323997696
0.462709,building index: loading tuples,1852,83,0,2229,446148608
0.86773,building index: loading tuples,1852,147,0,3997,445894656
1.229029,building index: loading tuples,1852,204,0,5495,445747200
1.571137,building index: loading tuples,1852,253,0,6852,445849600
1.913976,building index: loading tuples,1852,297,0,8068,445976576
2.261356,building index: loading tuples,1852,345,0,9345,446005248
2.613695,building index: loading tuples,1852,390,0,10518,447655936
2.931477,building index: loading tuples,1852,435,0,11761,446210048
3.412246,building index: loading tuples,1852,477,0,12918,446124032
3.729897,building index: loading tuples,1852,519,0,14027,445874176
4.064043,building index: loading tuples,1852,558,0,15072,446152704
4.46505,building index: loading tuples,1852,591,0,15934,445906944
4.830072,building index: loading tuples,1852,624,0,16829,446029824
5.240186,building index: loading tuples,1852,648,0,17522,446177280
5.713813,building index: loading tuples,1852,681,0,18409,445919232
6.088938,building index: loading tuples,1852,721,0,19451,445755392
6.442751,building index: loading tuples,1852,759,0,20501,445784064
7.138728,building index: loading tuples,1852,786,0,21258,445960192
7.680407,building index: loading tuples,1852,817,0,22090,445763584
8.173995,building index: loading tuples,1852,848,0,22852,445714432
8.707876,building index: loading tuples,1852,874,0,23621,445820928
9.198204,building index: loading tuples,1852,905,0,24438,445997056
9.709046,building index: loading tuples,1852,937,0,25304,446447616
10.892146,building index: loading tuples,1852,965,0,26025,446308352
11.368686,building index: loading tuples,1852,989,0,26721,446361600
11.794761,building index: loading tuples,1852,1016,0,27462,446316544
12.233549,building index: loading tuples,1852,1046,0,28240,446267392
12.708952,building index: loading tuples,1852,1072,0,28906,445685760
13.180452,building index: loading tuples,1852,1101,0,29714,446201856
13.534426,building index: loading tuples,1852,1128,0,30452,445886464
14.088837,building index: loading tuples,1852,1156,0,31220,445939712
14.608647,building index: loading tuples,1852,1186,0,31993,446214144
15.040468,building index: loading tuples,1852,1213,0,32754,445423616
15.461627,building index: loading tuples,1852,1237,0,33408,446029824
15.866916,building index: loading tuples,1852,1264,0,34115,446066688
16.269456,building index: loading tuples,1852,1291,0,34860,446185472
16.689743,building index: loading tuples,1852,1312,0,35475,445984768
17.119822,building index: loading tuples,1852,1341,0,36210,445796352
17.565219,building index: loading tuples,1852,1367,0,36905,446214144
18.169008,building index: loading tuples,1852,1387,0,37448,446341120
19.101856,building index: loading tuples,1852,1420,0,38317,445730816
19.654124,building index: loading tuples,1852,1447,0,39066,446525440
20.061052,building index: loading tuples,1852,1474,0,39796,446406656
20.44838,building index: loading tuples,1852,1498,0,40480,446210048
20.969806,building index: loading tuples,1852,1523,0,41160,445296640
21.483591,building index: loading tuples,1852,1550,0,41881,445358080
21.852293,building index: loading tuples,1852,1577,0,42637,445919232
22.244285,building index: loading tuples,1852,1607,0,43385,446148608
22.654868,building index: loading tuples,1852,1634,0,44147,446066688
23.028654,building index: loading tuples,1852,1661,0,44839,446038016
23.46904,building index: loading tuples,1852,1689,0,45570,445714432
23.863779,building index: loading tuples,1852,1713,0,46295,445603840
24.457312,building index: loading tuples,1852,1741,0,47004,445603840
24.898227,building index: loading tuples,1852,1764,0,47655,445730816
25.404262,building index: loading tuples,1852,1792,0,48412,446296064
25.790604,building index: loading tuples,1852,1816,0,49054,445845504
26.272079,building index: loading tuples,1852,1844,0,49824,445566976
26.657009,building index: loading tuples,1852,1852,0,49996,234229760
