elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,tuple_progress_percent,container_memory_bytes
0.003646,building index: loading tuples in memory,213,213,0,34,0.34,127139840
0.147912,building index: loading tuples in memory,213,19,0,893,8.93,125263872
0.311603,building index: loading tuples on disk,213,28,0,1334,13.34,126930944
0.470277,building index: loading tuples on disk,213,32,0,1534,15.34,126967808
0.638475,building index: loading tuples on disk,213,36,0,1719,17.19,127090688
0.821923,building index: loading tuples on disk,213,40,0,1893,18.93,129687552
1.011277,building index: loading tuples on disk,213,44,0,2084,20.84,38739968
1.253507,building index: loading tuples on disk,213,47,0,2244,22.44,39030784
1.456171,building index: loading tuples on disk,213,51,0,2403,24.03,38883328
1.65774,building index: loading tuples on disk,213,54,0,2559,25.59,38989824
1.861985,building index: loading tuples on disk,213,57,0,2695,26.95,41828352
2.082077,building index: loading tuples on disk,213,60,0,2845,28.45,39628800
2.28127,building index: loading tuples on disk,213,63,0,2988,29.88,40960000
2.564223,building index: loading tuples on disk,213,66,0,3118,31.18,42496000
2.781112,building index: loading tuples on disk,213,69,0,3259,32.59,40132608
2.990098,building index: loading tuples on disk,213,72,0,3392,33.92,42516480
3.189168,building index: loading tuples on disk,213,74,0,3522,35.22,40513536
3.378705,building index: loading tuples on disk,213,77,0,3658,36.58,40710144
3.581265,building index: loading tuples on disk,213,80,0,3794,37.94,40927232
3.781174,building index: loading tuples on disk,213,83,0,3934,39.34,40603648
3.9991,building index: loading tuples on disk,213,86,0,4074,40.74,41201664
4.185218,building index: loading tuples on disk,213,89,0,4215,42.15,42594304
4.387463,building index: loading tuples on disk,213,92,0,4345,43.45,42831872
4.582241,building index: loading tuples on disk,213,95,0,4487,44.87,41177088
4.849354,building index: loading tuples on disk,213,98,0,4631,46.31,41512960
5.059412,building index: loading tuples on disk,213,101,0,4762,47.62,43401216
5.256327,building index: loading tuples on disk,213,104,0,4903,49.03,41734144
5.443576,building index: loading tuples on disk,213,107,0,5071,50.71,41881600
5.624575,building index: loading tuples on disk,213,111,0,5221,52.21,42008576
5.786932,building index: loading tuples on disk,213,114,0,5367,53.67,41721856
5.958285,building index: loading tuples on disk,213,117,0,5510,55.1,41914368
6.128985,building index: loading tuples on disk,213,120,0,5649,56.49,43184128
6.310797,building index: loading tuples on disk,213,123,0,5786,57.86,42016768
6.474897,building index: loading tuples on disk,213,125,0,5908,59.08,41914368
6.675976,building index: loading tuples on disk,213,128,0,6034,60.34,42401792
6.878661,building index: loading tuples on disk,213,130,0,6156,61.56,42201088
7.085614,building index: loading tuples on disk,213,133,0,6255,62.55,42815488
7.286367,building index: loading tuples on disk,213,135,0,6366,63.66,42745856
7.493367,building index: loading tuples on disk,213,138,0,6487,64.87,42901504
7.676956,building index: loading tuples on disk,213,140,0,6611,66.11,42885120
7.858032,building index: loading tuples on disk,213,143,0,6734,67.34,43282432
8.045408,building index: loading tuples on disk,213,145,0,6855,68.55,43126784
8.237532,building index: loading tuples on disk,213,148,0,6974,69.74,44855296
8.423532,building index: loading tuples on disk,213,150,0,7092,70.92,43036672
8.620243,building index: loading tuples on disk,213,153,0,7217,72.17,43589632
8.795124,building index: loading tuples on disk,213,156,0,7344,73.44,45260800
8.970546,building index: loading tuples on disk,213,158,0,7466,74.66,45613056
9.136933,building index: loading tuples on disk,213,161,0,7575,75.75,43802624
9.319617,building index: loading tuples on disk,213,163,0,7691,76.91,43909120
9.49916,building index: loading tuples on disk,213,166,0,7806,78.06,44093440
9.669592,building index: loading tuples on disk,213,168,0,7920,79.2,44281856
9.859145,building index: loading tuples on disk,213,170,0,8036,80.36,45830144
10.036037,building index: loading tuples on disk,213,173,0,8157,81.57,44347392
10.219837,building index: loading tuples on disk,213,176,0,8273,82.73,44093440
10.389126,building index: loading tuples on disk,213,178,0,8393,83.93,44085248
10.566995,building index: loading tuples on disk,213,181,0,8512,85.12,44630016
10.74006,building index: loading tuples on disk,213,183,0,8641,86.41,44433408
10.941022,building index: loading tuples on disk,213,186,0,8751,87.51,44429312
11.131561,building index: loading tuples on disk,213,188,0,8861,88.61,44941312
11.326552,building index: loading tuples on disk,213,190,0,8969,89.69,44802048
11.518085,building index: loading tuples on disk,213,193,0,9081,90.81,45051904
11.701437,building index: loading tuples on disk,213,195,0,9198,91.98,46841856
11.876513,building index: loading tuples on disk,213,198,0,9311,93.11,45191168
12.070961,building index: loading tuples on disk,213,200,0,9405,94.05,45047808
12.270129,building index: loading tuples on disk,213,202,0,9518,95.18,45580288
12.443235,building index: loading tuples on disk,213,204,0,9628,96.28,45318144
12.629462,building index: loading tuples on disk,213,207,0,9738,97.38,45314048
12.805303,building index: loading tuples on disk,213,209,0,9854,98.54,45785088
12.977269,building index: loading tuples on disk,213,212,0,9969,99.69,47575040
