elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,tuple_progress_percent,container_memory_bytes
0.004379,building index: loading tuples in memory,0,0,0,0,0.0,144457728
0.162594,building index: loading tuples in memory,741,68,0,1845,9.225,145195008
0.328872,building index: loading tuples in memory,741,123,0,3299,16.495,145829888
0.518342,building index: loading tuples on disk,741,166,0,4489,22.445,149602304
0.732169,building index: loading tuples on disk,741,175,0,4787,23.935,149819392
0.937728,building index: loading tuples on disk,741,187,0,5077,25.385,149905408
1.182799,building index: loading tuples on disk,741,196,0,5336,26.68,150102016
1.412626,building index: loading tuples on disk,741,208,0,5607,28.035,150921216
1.633965,building index: loading tuples on disk,741,217,0,5873,29.365,150937600
1.851035,building index: loading tuples on disk,741,226,0,6129,30.645,151511040
2.078183,building index: loading tuples on disk,741,236,0,6407,32.035,153567232
2.307469,building index: loading tuples on disk,741,248,0,6683,33.415,152469504
2.535711,building index: loading tuples on disk,741,257,0,6934,34.67,152231936
2.749001,building index: loading tuples on disk,741,266,0,7188,35.94,152739840
3.02228,building index: loading tuples on disk,741,275,0,7456,37.28,152756224
3.295422,building index: loading tuples on disk,741,284,0,7692,38.46,153448448
3.536054,building index: loading tuples on disk,741,293,0,7940,39.7,153600000
3.757554,building index: loading tuples on disk,741,302,0,8185,40.925,153690112
3.97861,building index: loading tuples on disk,741,311,0,8445,42.225,155979776
4.189405,building index: loading tuples on disk,741,323,0,8700,43.5,154468352
4.407039,building index: loading tuples on disk,741,332,0,8956,44.78,154730496
4.627633,building index: loading tuples on disk,741,341,0,9204,46.02,154689536
4.841572,building index: loading tuples on disk,741,350,0,9450,47.25,154910720
5.061636,building index: loading tuples on disk,741,359,0,9712,48.56,155029504
5.290828,building index: loading tuples on disk,741,368,0,9957,49.785,155783168
5.507583,building index: loading tuples on disk,741,376,0,10200,51.0,157872128
5.702581,building index: loading tuples on disk,741,386,0,10441,52.205,157876224
5.908469,building index: loading tuples on disk,741,394,0,10670,53.35,156516352
6.108351,building index: loading tuples on disk,741,404,0,10884,54.42,157167616
6.445373,building index: loading tuples on disk,741,413,0,11125,55.625,157347840
6.683924,building index: loading tuples on disk,741,421,0,11355,56.775,158748672
6.893533,building index: loading tuples on disk,741,428,0,11583,57.915,157581312
7.102964,building index: loading tuples on disk,741,437,0,11830,59.15,157917184
7.323603,building index: loading tuples on disk,741,447,0,12064,60.32,160804864
7.527137,building index: loading tuples on disk,741,455,0,12300,61.5,158314496
7.72722,building index: loading tuples on disk,741,465,0,12532,62.66,160026624
7.930445,building index: loading tuples on disk,741,471,0,12755,63.775,158371840
8.145014,building index: loading tuples on disk,741,483,0,13002,65.01,159084544
8.342012,building index: loading tuples on disk,741,491,0,13232,66.16,159674368
8.584431,building index: loading tuples on disk,741,498,0,13444,67.22,165351424
8.802151,building index: loading tuples on disk,741,507,0,13661,68.305,161853440
9.015288,building index: loading tuples on disk,741,513,0,13887,69.435,161267712
9.233638,building index: loading tuples on disk,741,522,0,14114,70.57,160124928
9.457227,building index: loading tuples on disk,741,531,0,14334,71.67,160555008
9.667065,building index: loading tuples on disk,741,540,0,14557,72.785,160940032
9.883299,building index: loading tuples on disk,741,546,0,14762,73.81,161218560
10.142569,building index: loading tuples on disk,741,555,0,14978,74.89,161685504
10.348928,building index: loading tuples on disk,741,561,0,15198,75.99,161681408
10.55343,building index: loading tuples on disk,741,570,0,15427,77.135,162172928
10.765673,building index: loading tuples on disk,741,579,0,15620,78.1,162467840
11.003474,building index: loading tuples on disk,741,585,0,15835,79.175,162975744
11.231319,building index: loading tuples on disk,741,594,0,16041,80.205,163483648
11.511469,building index: loading tuples on disk,741,603,0,16255,81.275,163188736
11.766193,building index: loading tuples on disk,741,609,0,16457,82.285,163471360
11.998135,building index: loading tuples on disk,741,617,0,16648,83.24,164028416
12.261885,building index: loading tuples on disk,741,623,0,16843,84.215,164061184
12.52194,building index: loading tuples on disk,741,632,0,17052,85.26,164409344
12.785236,building index: loading tuples on disk,741,638,0,17235,86.175,164163584
13.082734,building index: loading tuples on disk,741,644,0,17423,87.115,164810752
13.358459,building index: loading tuples on disk,741,653,0,17619,88.095,164941824
13.626375,building index: loading tuples on disk,741,656,0,17765,88.825,165175296
13.941746,building index: loading tuples on disk,741,665,0,17979,89.895,165453824
14.283313,building index: loading tuples on disk,741,671,0,18170,90.85,165695488
14.577607,building index: loading tuples on disk,741,680,0,18366,91.83,165748736
14.865252,building index: loading tuples on disk,741,686,0,18555,92.775,165834752
15.14173,building index: loading tuples on disk,741,695,0,18748,93.74,166076416
15.441196,building index: loading tuples on disk,741,701,0,18920,94.6,166531072
15.719846,building index: loading tuples on disk,741,707,0,19103,95.515,166907904
15.977839,building index: loading tuples on disk,741,716,0,19306,96.53,166637568
16.242403,building index: loading tuples on disk,741,722,0,19487,97.435,167165952
16.509525,building index: loading tuples on disk,741,728,0,19634,98.17,167456768
17.008153,building index: loading tuples on disk,741,734,0,19825,99.125,167677952
17.277731,building index: writing index pages to WAL,741,741,0,20000,100.0,171438080
