elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,tuple_progress_percent,container_memory_bytes
0.00561,building index: loading tuples in memory,3704,4,0,109,0.109,235253760
0.304435,building index: loading tuples in memory,3704,28,0,757,0.757,236240896
0.590984,building index: loading tuples in memory,3704,43,0,1176,1.176,236470272
1.105036,building index: loading tuples in memory,3704,57,0,1548,1.548,236920832
1.506243,building index: loading tuples in memory,3704,70,0,1914,1.914,237350912
1.920887,building index: loading tuples in memory,3704,84,0,2287,2.287,237404160
2.200917,building index: loading tuples in memory,3704,97,0,2643,2.643,237981696
2.495796,building index: loading tuples in memory,3704,110,0,2989,2.989,238497792
2.877519,building index: loading tuples in memory,3704,124,0,3358,3.358,238686208
3.145614,building index: loading tuples in memory,3704,137,0,3701,3.701,238772224
3.396154,building index: loading tuples in memory,3704,149,0,4036,4.036,239169536
3.663292,building index: loading tuples in memory,3704,161,0,4351,4.351,239288320
3.93509,building index: loading tuples in memory,3704,172,0,4648,4.648,239796224
4.195851,building index: loading tuples in memory,3704,182,0,4923,4.923,240054272
4.47592,building index: loading tuples in memory,3704,193,0,5222,5.222,240181248
4.792617,building index: loading tuples in memory,3704,203,0,5497,5.497,240586752
5.115948,building index: loading tuples in memory,3704,214,0,5787,5.787,241172480
5.455249,building index: loading tuples in memory,3704,224,0,6050,6.05,241152000
5.762892,building index: loading tuples in memory,3704,234,0,6323,6.323,241897472
6.169282,building index: loading tuples in memory,3704,243,0,6578,6.578,242020352
6.526071,building index: loading tuples in memory,3704,254,0,6860,6.86,241991680
6.887427,building index: loading tuples in memory,3704,264,0,7146,7.146,241975296
7.192194,building index: loading tuples in memory,3704,274,0,7423,7.423,242319360
7.495576,building index: loading tuples in memory,3704,286,0,7730,7.73,242925568
7.783962,building index: loading tuples in memory,3704,295,0,7967,7.967,243048448
8.097769,building index: loading tuples in memory,3704,305,0,8251,8.251,243290112
8.400743,building index: loading tuples in memory,3704,313,0,8472,8.472,243531776
8.735509,building index: loading tuples in memory,3704,322,0,8716,8.716,244289536
9.0976,building index: loading tuples in memory,3704,331,0,8946,8.946,245981184
9.434743,building index: loading tuples in memory,3704,341,0,9207,9.207,244056064
9.678734,building index: loading tuples in memory,3704,350,0,9465,9.465,244490240
9.919172,building index: loading tuples in memory,3704,361,0,9750,9.75,244596736
10.199943,building index: loading tuples in memory,3704,370,0,10015,10.015,246509568
10.437377,building index: loading tuples in memory,3704,381,0,10293,10.293,244846592
10.695638,building index: loading tuples in memory,3704,390,0,10540,10.54,245497856
10.935861,building index: loading tuples in memory,3704,399,0,10794,10.794,245833728
11.204581,building index: loading tuples in memory,3704,408,0,11035,11.035,245948416
11.493843,building index: loading tuples in memory,3704,418,0,11296,11.296,246145024
11.735513,building index: loading tuples in memory,3704,427,0,11544,11.544,246681600
12.006353,building index: loading tuples in memory,3704,437,0,11825,11.825,246857728
12.246862,building index: loading tuples in memory,3704,447,0,12095,12.095,246710272
12.483818,building index: loading tuples in memory,3704,457,0,12351,12.351,247001088
12.74061,building index: loading tuples in memory,3704,465,0,12560,12.56,247382016
13.13978,building index: loading tuples in memory,3704,473,0,12787,12.787,247578624
13.460193,building index: loading tuples in memory,3704,482,0,13023,13.023,247574528
13.721412,building index: loading tuples in memory,3704,491,0,13263,13.263,247984128
13.979785,building index: loading tuples in memory,3704,500,0,13527,13.527,248549376
14.277199,building index: loading tuples in memory,3704,509,0,13759,13.759,248762368
14.523045,building index: loading tuples in memory,3704,518,0,13993,13.993,249237504
14.770194,building index: loading tuples in memory,3704,528,0,14272,14.272,249057280
15.022476,building index: loading tuples in memory,3704,537,0,14499,14.499,249290752
15.331749,building index: loading tuples in memory,3704,546,0,14749,14.749,251138048
15.587212,building index: loading tuples in memory,3704,555,0,15010,15.01,249782272
15.830308,building index: loading tuples in memory,3704,564,0,15250,15.25,251887616
16.059757,building index: loading tuples in memory,3704,573,0,15497,15.497,250363904
16.323067,building index: loading tuples in memory,3704,582,0,15737,15.737,250613760
16.609221,building index: loading tuples in memory,3704,591,0,15960,15.96,250589184
16.895966,building index: loading tuples in memory,3704,599,0,16198,16.198,253083648
17.142946,building index: loading tuples in memory,3704,608,0,16417,16.417,251441152
17.44199,building index: loading tuples in memory,3704,615,0,16626,16.626,251637760
17.762429,building index: loading tuples in memory,3704,624,0,16857,16.857,251817984
18.179697,building index: loading tuples in memory,3704,631,0,17061,17.061,251813888
18.467267,building index: loading tuples in memory,3704,640,0,17288,17.288,253689856
18.748579,building index: loading tuples in memory,3704,647,0,17492,17.492,251850752
19.076378,building index: loading tuples in memory,3704,655,0,17700,17.7,252526592
19.42346,building index: loading tuples in memory,3704,662,0,17893,17.893,252350464
19.733776,building index: loading tuples in memory,3704,670,0,18113,18.113,253169664
20.019193,building index: loading tuples in memory,3704,679,0,18354,18.354,253636608
20.270594,building index: loading tuples in memory,3704,688,0,18596,18.596,253366272
