elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,tuple_progress_percent,container_memory_bytes
0.007475,building index: loading tuples in memory,0,0,0,0,0.0,205512704
0.713772,building index: loading tuples in memory,5616,326,0,4751,4.751,452042752
1.442823,building index: loading tuples in memory,5616,427,0,8249,8.249,452587520
2.229065,building index: loading tuples in memory,5616,490,0,10784,10.784,453070848
3.014476,building index: loading tuples in memory,5616,824,0,13641,13.641,452354048
3.767528,building index: loading tuples in memory,5616,890,0,16522,16.522,452206592
4.572322,building index: loading tuples in memory,5616,1095,0,18978,18.978,452173824
5.341432,building index: loading tuples in memory,5616,1276,0,21763,21.763,452022272
6.269354,building index: loading tuples in memory,5616,1331,0,24499,24.499,451997696
7.008995,building index: loading tuples in memory,5616,1404,0,27033,27.033,453152768
7.758789,building index: loading tuples in memory,5616,1703,0,30023,30.023,452374528
8.501631,building index: loading tuples in memory,5616,1748,0,32475,32.475,452493312
9.257697,building index: loading tuples in memory,5616,1939,0,35020,35.02,452104192
9.99928,building index: loading tuples in memory,5616,2120,0,37611,37.611,452202496
10.805325,building index: loading tuples in memory,5616,2178,0,40243,40.243,452575232
11.552226,building index: loading tuples in memory,5616,2458,0,42621,42.621,452149248
12.2978,building index: loading tuples in memory,5616,2525,0,45396,45.396,451993600
13.04606,building index: loading tuples in memory,5616,2593,0,47651,47.651,451948544
13.818731,building index: loading tuples in memory,5616,2881,0,50226,50.226,363798528
14.766537,building index: loading tuples in memory,5616,2926,0,52020,52.02,367730688
15.744847,building index: loading tuples in memory,5616,2964,0,53812,53.812,368365568
16.54284,building index: loading tuples in memory,5616,3027,0,55910,55.91,368218112
17.318045,building index: loading tuples in memory,5616,3289,0,58156,58.156,368144384
18.060684,building index: loading tuples in memory,5616,3344,0,60170,60.17,368259072
18.797376,building index: loading tuples in memory,5616,3492,0,62324,62.324,368472064
19.564967,building index: loading tuples in memory,5616,3620,0,64662,64.662,367878144
20.319552,building index: loading tuples in memory,5616,3734,0,66832,66.832,368185344
21.054184,building index: loading tuples in memory,5616,3839,0,69120,69.12,368111616
21.796775,building index: loading tuples in memory,5616,3958,0,71234,71.234,368189440
22.545272,building index: loading tuples in memory,5616,4085,0,73585,73.585,368431104
23.393048,building index: loading tuples in memory,5616,4204,0,75659,75.659,368521216
24.152941,building index: loading tuples in memory,5616,4342,0,78116,78.116,368132096
25.061929,building index: loading tuples in memory,5616,4450,0,80118,80.118,367874048
25.785638,building index: loading tuples in memory,5616,4597,0,82751,82.751,368312320
26.511262,building index: loading tuples in memory,5616,4733,0,85235,85.235,368336896
27.252838,building index: loading tuples in memory,5616,4876,0,87745,87.745,368361472
27.98177,building index: loading tuples in memory,5616,5009,0,90193,90.193,368050176
28.726572,building index: loading tuples in memory,5616,5148,0,92626,92.626,368844800
29.470916,building index: loading tuples in memory,5616,5265,0,94820,94.82,368328704
30.212295,building index: loading tuples in memory,5616,5393,0,97087,97.087,368877568
30.970501,building index: loading tuples in memory,5616,5498,0,98993,98.993,368570368
31.754199,building index: flushing in-memory graph,5616,5616,0,99996,99.996,515051520
