elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,tuple_progress_percent,container_memory_bytes
0.00777,building index: loading tuples in memory,0,0,0,0,0.0,197091328
0.697529,building index: loading tuples in memory,5616,261,0,4723,4.723,261341184
1.442508,building index: loading tuples in memory,5616,427,0,8305,8.305,261283840
2.175509,building index: loading tuples in memory,5616,523,0,11590,11.59,261472256
2.945038,building index: loading tuples in memory,5616,863,0,14421,14.421,261652480
3.677422,building index: loading tuples in memory,5616,930,0,17717,17.717,261447680
4.406309,building index: loading tuples in memory,5616,1129,0,20147,20.147,261505024
5.16914,building index: loading tuples in memory,5616,1292,0,22276,22.276,261451776
5.961768,building index: loading tuples in memory,5616,1344,0,24764,24.764,261165056
6.726041,building index: loading tuples in memory,5616,1400,0,27056,27.056,261390336
7.492384,building index: loading tuples in memory,5616,1696,0,29335,29.335,261591040
8.244388,building index: loading tuples in memory,5616,1801,0,32011,32.011,261165056
9.353501,building index: loading tuples in memory,5616,1873,0,34159,34.159,261558272
10.140296,building index: loading tuples in memory,5616,2090,0,36568,36.568,261615616
10.882729,building index: loading tuples in memory,5616,2181,0,38816,38.816,261562368
11.624677,building index: loading tuples in memory,5616,2272,0,41169,41.169,261484544
12.373048,building index: loading tuples in memory,5616,2359,0,43469,43.469,261599232
13.127311,building index: loading tuples in memory,5616,2590,0,45535,45.535,261558272
13.865431,building index: loading tuples in memory,5616,2692,0,47923,47.923,261394432
14.62679,building index: loading tuples in memory,5616,2812,0,50635,50.635,261509120
15.401724,building index: loading tuples in memory,5616,2963,0,53370,53.37,174051328
16.189805,building index: loading tuples in memory,5616,3097,0,55728,55.728,174137344
16.918817,building index: flushing in-memory graph,5616,3264,0,58165,58.165,256045056
17.668065,building index: loading tuples on disk,5616,3274,0,58693,58.693,262422528
18.406784,building index: loading tuples on disk,5616,3283,0,59139,59.139,263471104
19.151398,building index: loading tuples on disk,5616,3293,0,59680,59.68,264388608
19.882563,building index: loading tuples on disk,5616,3362,0,60303,60.303,264765440
20.622348,building index: loading tuples on disk,5616,3405,0,60896,60.896,265678848
21.345767,building index: loading tuples on disk,5616,3419,0,61542,61.542,266924032
22.077813,building index: loading tuples on disk,5616,3451,0,62063,62.063,267837440
22.819995,building index: loading tuples on disk,5616,3481,0,62616,62.616,268529664
23.629376,building index: loading tuples on disk,5616,3506,0,63072,63.072,269193216
24.451898,building index: loading tuples on disk,5616,3530,0,63525,63.525,270512128
25.217479,building index: loading tuples on disk,5616,3554,0,63992,63.992,270917632
26.033831,building index: loading tuples on disk,5616,3579,0,64486,64.486,271269888
26.802446,building index: loading tuples on disk,5616,3609,0,65007,65.007,271638528
27.602567,building index: loading tuples on disk,5616,3638,0,65486,65.486,272166912
28.561649,building index: loading tuples on disk,5616,3663,0,66001,66.001,273465344
