query_id,ef_search,recall_at_k,exact_execution_ms,approximate_execution_ms,exact_neighbors,approximate_neighbors
1,40,1.0,0.525,0.489,"[667, 572, 297, 1346, 728, 1047, 241, 300, 1907, 1512]","[667, 572, 297, 1346, 728, 1047, 241, 300, 1907, 1512]"
2,40,1.0,0.498,0.612,"[1684, 725, 382, 882, 1817, 1391, 380, 1132, 1049, 538]","[1684, 725, 382, 882, 1817, 1391, 380, 1132, 1049, 538]"
3,40,1.0,0.641,0.487,"[1946, 1956, 534, 775, 1230, 1454, 1782, 865, 1718, 1242]","[1946, 1956, 534, 775, 1230, 1454, 1782, 865, 1718, 1242]"
4,40,1.0,0.389,0.467,"[1002, 700, 105, 751, 906, 638, 167, 1614, 1044, 587]","[1002, 700, 105, 751, 906, 638, 167, 1614, 1044, 587]"
5,40,1.0,0.536,0.444,"[1092, 1889, 891, 268, 724, 1861, 937, 675, 1851, 1694]","[1092, 1889, 891, 268, 724, 1861, 937, 675, 1851, 1694]"
6,40,1.0,0.509,0.606,"[1300, 294, 1456, 519, 1372, 1356, 1437, 1939, 1946, 600]","[1300, 294, 1456, 519, 1372, 1356, 1437, 1939, 1946, 600]"
7,40,1.0,0.532,0.444,"[1574, 464, 1043, 815, 956, 303, 1794, 1959, 1966, 820]","[1574, 464, 1043, 815, 956, 303, 1794, 1959, 1966, 820]"
8,40,1.0,0.496,1.185,"[371, 1091, 1374, 1835, 688, 1928, 10, 705, 1498, 261]","[371, 1091, 1374, 1835, 688, 1928, 10, 705, 1498, 261]"
9,40,1.0,0.453,0.517,"[18, 588, 1402, 1677, 1209, 1420, 1988, 1232, 655, 1905]","[18, 588, 1402, 1677, 1209, 1420, 1988, 1232, 655, 1905]"
10,40,1.0,0.497,0.346,"[513, 1019, 470, 500, 1410, 1361, 313, 1310, 739, 1985]","[513, 1019, 470, 500, 1410, 1361, 313, 1310, 739, 1985]"
