elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,tuple_progress_percent,container_memory_bytes
0.008994,building index: loading tuples in memory,0,0,0,0,0.0,1938571264
0.794841,building index: loading tuples in memory,65776,192,0,3287,0.278,3710070784
1.699195,building index: loading tuples in memory,65776,242,0,6021,0.509,3710001152
2.566771,building index: loading tuples in memory,65776,491,0,9031,0.763,3709911040
3.362685,building index: loading tuples in memory,65776,606,0,11747,0.993,3709767680
4.141672,building index: loading tuples in memory,65776,778,0,14078,1.19,3709960192
4.935364,building index: loading tuples in memory,65776,884,0,16346,1.381,3709894656
5.799116,building index: loading tuples in memory,65776,989,0,18525,1.565,3709825024
6.659073,building index: loading tuples in memory,65776,1167,0,21292,1.799,3710074880
7.403425,building index: loading tuples in memory,65776,1347,0,24116,2.038,3710119936
8.158483,building index: loading tuples in memory,65776,1458,0,26642,2.251,3709657088
9.063498,building index: loading tuples in memory,65776,1634,0,29267,2.473,3709878272
9.811365,building index: loading tuples in memory,65776,1740,0,31557,2.666,3709779968
10.566213,building index: loading tuples in memory,65776,1848,0,33914,2.866,3709571072
11.314443,building index: loading tuples in memory,65776,2021,0,36358,3.072,3709857792
12.085737,building index: loading tuples in memory,65776,2125,0,38420,3.246,3709710336
13.024885,building index: loading tuples in memory,65776,2230,0,40648,3.435,3709820928
13.766105,building index: loading tuples in memory,65776,2401,0,43019,3.635,3710160896
14.51312,building index: loading tuples in memory,65776,2501,0,44993,3.802,3709902848
15.293776,building index: loading tuples in memory,65776,2612,0,47518,4.015,2062123008
16.164248,building index: loading tuples in memory,65776,2713,0,49498,4.182,2070032384
16.960447,building index: loading tuples in memory,65776,2813,0,51451,4.347,2070675456
17.753127,building index: loading tuples in memory,65776,2905,0,52946,4.474,2071261184
18.754301,building index: loading tuples in memory,65776,3006,0,54944,4.642,2071896064
19.501141,building index: loading tuples in memory,65776,3177,0,57222,4.835,2076708864
20.234095,building index: loading tuples in memory,65776,3290,0,59898,5.061,2076942336
20.961365,building index: loading tuples in memory,65776,3457,0,62074,5.245,2077691904
21.735735,building index: loading tuples in memory,65776,3566,0,64479,5.448,2081935360
22.481469,building index: loading tuples in memory,65776,3671,0,66755,5.64,2082639872
23.266857,building index: loading tuples in memory,65776,3770,0,68606,5.797,2083336192
24.091179,building index: loading tuples in memory,65776,3867,0,70415,5.95,2083803136
24.971564,building index: loading tuples in memory,65776,3963,0,72144,6.096,2084995072
25.733092,building index: loading tuples in memory,65776,4061,0,73985,6.251,2085044224
26.522179,building index: loading tuples in memory,65776,4230,0,76163,6.435,2089730048
27.265022,building index: loading tuples in memory,65776,4326,0,77919,6.584,2090213376
28.262826,building index: loading tuples in memory,65776,4423,0,79703,6.734,2090684416
29.011843,building index: loading tuples in memory,65776,4521,0,81556,6.891,2091008000
29.843354,building index: loading tuples in memory,65776,4620,0,83417,7.048,2095669248
30.719101,building index: loading tuples in memory,65776,4714,0,85080,7.189,2096291840
31.525121,building index: loading tuples in memory,65776,4814,0,87023,7.353,2096812032
32.27129,building index: loading tuples in memory,65776,4916,0,89078,7.527,2097532928
33.023272,building index: loading tuples in memory,65776,5088,0,91519,7.733,2097885184
33.788819,building index: loading tuples in memory,65776,5188,0,93439,7.895,2102583296
34.575876,building index: loading tuples in memory,65776,5291,0,95515,8.07,2103042048
35.30855,building index: loading tuples in memory,65776,5397,0,97812,8.265,2103734272
36.370338,building index: loading tuples in memory,65776,5498,0,99868,8.438,2104016896
37.134085,building index: loading tuples in memory,65776,5594,0,101608,8.585,2104889344
37.910772,building index: loading tuples in memory,65776,5688,0,103202,8.72,2109579264
38.650982,building index: loading tuples in memory,65776,5789,0,105252,8.893,2110054400
39.398616,building index: loading tuples in memory,65776,5959,0,107528,9.085,2110541824
40.198756,building index: loading tuples in memory,65776,6070,0,110056,9.299,2111053824
40.934432,building index: loading tuples in memory,65776,6206,0,112218,9.482,2115624960
41.675156,building index: loading tuples in memory,65776,6408,0,114525,9.677,2116239360
42.440256,building index: loading tuples in memory,65776,6472,0,116324,9.829,2116583424
43.241883,building index: loading tuples in memory,65776,6571,0,118309,9.996,2117378048
43.994654,building index: loading tuples in memory,65776,6663,0,119824,10.124,2125070336
44.761758,building index: loading tuples in memory,65776,6752,0,121218,10.242,2125725696
45.549989,building index: loading tuples in memory,65776,6852,0,123177,10.408,2125983744
46.36584,building index: loading tuples in memory,65776,6952,0,125228,10.581,2126405632
47.096262,building index: loading tuples in memory,65776,7056,0,127412,10.766,2127425536
47.990953,building index: loading tuples in memory,65776,7145,0,128839,10.886,2128150528
48.887605,building index: loading tuples in memory,65776,7238,0,130435,11.021,2132889600
49.701511,building index: loading tuples in memory,65776,7334,0,132159,11.167,2132971520
50.481038,building index: loading tuples in memory,65776,7460,0,133773,11.303,2133635072
51.252344,building index: loading tuples in memory,65776,7559,0,135727,11.468,2134220800
51.998277,building index: loading tuples in memory,65776,7655,0,137531,11.621,2134765568
52.768117,building index: loading tuples in memory,65776,7759,0,139678,11.802,2139394048
53.511541,building index: loading tuples in memory,65776,7867,0,142152,12.011,2139942912
54.25624,building index: loading tuples in memory,65776,7958,0,143601,12.133,2140733440
54.991247,building index: loading tuples in memory,65776,8160,0,145911,12.329,2140622848
55.736543,building index: loading tuples in memory,65776,8262,0,147964,12.502,2145689600
56.488932,building index: loading tuples in memory,65776,8362,0,149966,12.671,2146455552
57.235646,building index: loading tuples in memory,65776,8463,0,151961,12.84,2146639872
57.974753,building index: loading tuples in memory,65776,8564,0,153921,13.005,2147069952
58.727625,building index: loading tuples in memory,65776,8660,0,155638,13.15,2148376576
59.474751,building index: loading tuples in memory,65776,8763,0,157746,13.329,2152759296
60.209134,building index: loading tuples in memory,65776,8933,0,159996,13.519,2152861696
61.11075,building index: loading tuples in memory,65776,9042,0,162380,13.72,2052456448
61.887725,building index: loading tuples in memory,65776,9149,0,164712,13.917,2054770688
62.647593,building index: loading tuples in memory,65776,9281,0,166624,14.079,2059747328
63.392189,building index: loading tuples in memory,65776,9379,0,168473,14.235,2060484608
64.182065,building index: loading tuples in memory,65776,9480,0,170389,14.397,2065158144
64.959062,building index: loading tuples in memory,65776,9572,0,171871,14.522,2065448960
65.750642,building index: loading tuples in memory,65776,9671,0,173746,14.681,2065981440
66.519063,building index: loading tuples in memory,65776,9767,0,175466,14.826,2066395136
67.450273,building index: loading tuples in memory,65776,9864,0,177185,14.971,2067243008
68.206649,building index: loading tuples in memory,65776,9968,0,179303,15.15,2072109056
68.997108,building index: loading tuples in memory,65776,10059,0,180715,15.269,2072162304
69.830845,building index: loading tuples in memory,65776,10153,0,182279,15.402,2072702976
70.648154,building index: loading tuples in memory,65776,10249,0,184011,15.548,2073001984
71.473442,building index: loading tuples in memory,65776,10344,0,185648,15.686,2074259456
72.289306,building index: loading tuples in memory,65776,10449,0,187843,15.872,2074497024
73.086681,building index: loading tuples in memory,65776,10533,0,188888,15.96,2078867456
73.885891,building index: loading tuples in memory,65776,10629,0,190573,16.102,2080264192
74.700067,building index: loading tuples in memory,65776,10730,0,192570,16.271,2080628736
75.483425,building index: loading tuples in memory,65776,10828,0,194357,16.422,2080829440
76.250341,building index: loading tuples in memory,65776,10929,0,196343,16.59,2081447936
76.990919,building index: loading tuples in memory,65776,11029,0,198340,16.759,2086006784
77.746355,building index: loading tuples in memory,65776,11095,0,200119,16.909,2087378944
78.538224,building index: loading tuples in memory,65776,11193,0,201984,17.066,2087714816
79.291579,building index: loading tuples in memory,65776,11295,0,203993,17.236,2088058880
80.073402,building index: loading tuples in memory,65776,11458,0,205897,17.397,2088747008
80.827598,building index: loading tuples in memory,65776,11564,0,208174,17.589,2093084672
81.557337,building index: loading tuples in memory,65776,11666,0,210291,17.768,2093887488
