elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,tuple_progress_percent,container_memory_bytes
0.610125,building index: loading tuples in memory,65776,254,0,6730,0.569,3709771776
1.229935,building index: loading tuples in memory,65776,599,0,11580,0.978,3710070784
1.881076,building index: loading tuples in memory,65776,869,0,15773,1.333,3710443520
2.5138,building index: loading tuples in memory,65776,1073,0,19916,1.683,3709775872
3.155026,building index: loading tuples in memory,65776,1272,0,23750,2.007,3709648896
3.8311,building index: loading tuples in memory,65776,1469,0,27418,2.317,3709583360
4.464007,building index: loading tuples in memory,65776,1734,0,31375,2.651,3710009344
5.095914,building index: loading tuples in memory,65776,1931,0,35048,2.961,3709702144
5.736148,building index: loading tuples in memory,65776,2124,0,38571,3.259,3709878272
6.370037,building index: loading tuples in memory,65776,2305,0,41397,3.498,3710001152
7.027953,building index: loading tuples in memory,65776,2496,0,44791,3.785,2080157696
7.701142,building index: loading tuples in memory,65776,2622,0,48132,4.067,2089242624
8.374529,building index: loading tuples in memory,65776,2810,0,51342,4.338,2089762816
8.994537,building index: loading tuples in memory,65776,3005,0,54957,4.644,2094080000
9.656784,building index: loading tuples in memory,65776,3195,0,58259,4.923,2094190592
10.287504,building index: loading tuples in memory,65776,3379,0,61315,5.181,2095079424
10.910031,building index: loading tuples in memory,65776,3570,0,64656,5.463,2099351552
11.531613,building index: loading tuples in memory,65776,3754,0,67668,5.718,2100281344
12.168794,building index: loading tuples in memory,65776,3868,0,70370,5.946,2100097024
12.819874,building index: loading tuples in memory,65776,4049,0,73200,6.185,2104991744
13.45163,building index: loading tuples in memory,65776,4232,0,76163,6.435,2105442304
14.092688,building index: loading tuples in memory,65776,4416,0,79226,6.694,2105446400
14.75521,building index: loading tuples in memory,65776,4529,0,81801,6.912,2106486784
15.376916,building index: loading tuples in memory,65776,4716,0,85003,7.182,2111008768
15.99881,building index: loading tuples in memory,65776,4902,0,88083,7.442,2111291392
16.63619,building index: loading tuples in memory,65776,5018,0,90920,7.682,2111930368
17.264015,building index: loading tuples in memory,65776,5203,0,93997,7.942,2116804608
17.886291,building index: loading tuples in memory,65776,5387,0,97027,8.198,2117058560
18.515309,building index: loading tuples in memory,65776,5501,0,99730,8.427,2117898240
19.214787,building index: loading tuples in memory,65776,5679,0,102357,8.649,2121912320
19.8406,building index: loading tuples in memory,65776,5859,0,105174,8.887,2122317824
20.476649,building index: loading tuples in memory,65776,5972,0,107829,9.111,2123292672
21.101278,building index: loading tuples in memory,65776,6149,0,110464,9.334,2127327232
21.735473,building index: loading tuples in memory,65776,6267,0,113360,9.578,2128113664
22.428196,building index: loading tuples in memory,65776,6434,0,115493,9.758,2128990208
23.070942,building index: loading tuples in memory,65776,6545,0,118028,9.973,2129068032
23.717973,building index: loading tuples in memory,65776,6727,0,120956,10.22,2133635072
24.344496,building index: loading tuples in memory,65776,6842,0,123735,10.455,2134085632
24.993988,building index: loading tuples in memory,65776,7017,0,126306,10.672,2134315008
25.628766,building index: loading tuples in memory,65776,7128,0,128882,10.89,2139791360
26.260019,building index: loading tuples in memory,65776,7307,0,131602,11.12,2140479488
26.892682,building index: loading tuples in memory,65776,7395,0,132947,11.233,2141196288
28.104265,building index: loading tuples in memory,65776,7418,0,134185,11.338,2141409280
29.058115,building index: loading tuples in memory,65776,7507,0,135571,11.455,2141962240
29.825259,building index: loading tuples in memory,65776,7682,0,138094,11.668,2146754560
30.492963,building index: loading tuples in memory,65776,7802,0,141092,11.921,2146951168
31.101276,building index: loading tuples in memory,65776,7990,0,144305,12.193,2147524608
31.723556,building index: loading tuples in memory,65776,8178,0,147470,12.46,2152251392
32.339092,building index: loading tuples in memory,65776,8361,0,150459,12.713,2152382464
32.980205,building index: loading tuples in memory,65776,8544,0,153454,12.966,2153152512
33.614128,building index: loading tuples in memory,65776,8669,0,156642,13.235,2157584384
34.234833,building index: loading tuples in memory,65776,8857,0,159858,13.507,2158055424
34.855915,building index: loading tuples in memory,65776,9048,0,163203,13.79,2158374912
35.501675,building index: loading tuples in memory,65776,9233,0,166322,14.053,2162991104
36.154434,building index: loading tuples in memory,65776,9421,0,169553,14.326,2163818496
36.915948,building index: loading tuples in memory,65776,9605,0,172584,14.582,2164932608
37.540456,building index: loading tuples in memory,65776,9727,0,175749,14.85,2168905728
38.161146,building index: loading tuples in memory,65776,9916,0,178957,15.121,2169876480
38.781283,building index: loading tuples in memory,65776,10102,0,182091,15.386,2169823232
39.397753,building index: loading tuples in memory,65776,10290,0,185287,15.656,2174496768
40.007338,building index: loading tuples in memory,65776,10478,0,188515,15.928,2174709760
40.613416,building index: loading tuples in memory,65776,10668,0,191787,16.205,2174730240
41.236483,building index: loading tuples in memory,65776,10858,0,195132,16.488,2179768320
41.84957,building index: loading tuples in memory,65776,11050,0,198521,16.774,2179538944
42.451433,building index: loading tuples in memory,65776,11238,0,201779,17.049,2184855552
43.059014,building index: loading tuples in memory,65776,11427,0,205015,17.323,2184781824
43.667089,building index: loading tuples in memory,65776,11616,0,208344,17.604,2185748480
44.271475,building index: loading tuples in memory,65776,11743,0,211698,17.887,2190065664
44.890077,building index: loading tuples in memory,65776,11929,0,214812,18.15,2190544896
45.510145,building index: loading tuples in memory,65776,12115,0,217980,18.418,2191036416
46.123046,building index: loading tuples in memory,65776,12304,0,221227,18.692,2195492864
46.742695,building index: loading tuples in memory,65776,12492,0,224467,18.966,2195849216
47.362387,building index: loading tuples in memory,65776,12678,0,227599,19.231,2196918272
47.97724,building index: loading tuples in memory,65776,12867,0,230907,19.51,2200969216
48.591407,building index: loading tuples in memory,65776,13058,0,234265,19.794,2201513984
49.188539,building index: loading tuples in memory,65776,13181,0,237462,20.064,2201821184
49.801898,building index: loading tuples in memory,65776,13370,0,240750,20.342,2206412800
50.406307,building index: loading tuples in memory,65776,13557,0,243950,20.612,2206683136
51.042245,building index: loading tuples in memory,65776,13743,0,247074,20.876,2207121408
51.660115,building index: loading tuples in memory,65776,13929,0,250224,21.142,2211553280
52.285155,building index: loading tuples in memory,65776,14116,0,253430,21.413,2052489216
52.951973,building index: loading tuples in memory,65776,14235,0,256412,21.665,2057551872
53.573178,building index: loading tuples in memory,65776,14425,0,259708,21.944,2062467072
54.207152,building index: loading tuples in memory,65776,14610,0,262809,22.206,2063024128
54.817748,building index: loading tuples in memory,65776,14800,0,266124,22.486,2067050496
55.424293,building index: loading tuples in memory,65776,14988,0,269367,22.76,2071080960
56.042895,building index: loading tuples in memory,65776,15176,0,272577,23.031,2071420928
56.658115,building index: loading tuples in memory,65776,15366,0,275914,23.313,2076069888
57.25415,building index: loading tuples in memory,65776,15553,0,279143,23.586,2076139520
57.866884,building index: loading tuples in memory,65776,15675,0,282268,23.85,2076413952
58.475491,building index: loading tuples in memory,65776,15861,0,285439,24.118,2081386496
59.089965,building index: loading tuples in memory,65776,16047,0,288544,24.38,2081902592
59.699546,building index: loading tuples in memory,65776,16237,0,291905,24.664,2082369536
60.377338,building index: loading tuples in memory,65776,16420,0,294808,24.91,2087075840
61.018427,building index: loading tuples in memory,65776,16542,0,298004,25.18,2087759872
61.637083,building index: loading tuples in memory,65776,16734,0,301379,25.465,2087452672
62.242449,building index: loading tuples in memory,65776,16921,0,304600,25.737,2092040192
62.849912,building index: loading tuples in memory,65776,17108,0,307749,26.003,2092298240
63.454498,building index: loading tuples in memory,65776,17297,0,311020,26.279,2093051904
64.061517,building index: loading tuples in memory,65776,17483,0,314181,26.546,2097283072
64.676019,building index: loading tuples in memory,65776,17670,0,317348,26.814,2097774592
65.293046,building index: loading tuples in memory,65776,17791,0,320434,27.075,2098122752
65.912599,building index: loading tuples in memory,65776,17977,0,323601,27.342,2102898688
66.525227,building index: loading tuples in memory,65776,18168,0,326933,27.624,2103197696
67.16856,building index: loading tuples in memory,65776,18355,0,330089,27.891,2107887616
67.786127,building index: loading tuples in memory,65776,18544,0,333387,28.169,2107879424
68.39138,building index: loading tuples in memory,65776,18734,0,336695,28.449,2108489728
69.003793,building index: loading tuples in memory,65776,18920,0,339807,28.712,2113372160
69.62568,building index: loading tuples in memory,65776,19107,0,343022,28.983,2113548288
70.247149,building index: loading tuples in memory,65776,19231,0,346288,29.259,2113904640
70.865228,building index: loading tuples in memory,65776,19385,0,349395,29.522,2118791168
71.483109,building index: loading tuples in memory,65776,19601,0,352390,29.775,2119077888
72.105885,building index: loading tuples in memory,65776,19788,0,355544,30.041,2119290880
72.804939,building index: loading tuples in memory,65776,19901,0,358225,30.268,2123132928
73.426245,building index: loading tuples in memory,65776,20082,0,361054,30.507,2123251712
74.052952,building index: loading tuples in memory,65776,20266,0,364067,30.762,2123575296
74.659853,building index: loading tuples in memory,65776,20452,0,367234,31.029,2127024128
75.268402,building index: loading tuples in memory,65776,20573,0,370272,31.286,2127261696
75.870386,building index: loading tuples in memory,65776,20758,0,373327,31.544,2127622144
76.481357,building index: loading tuples in memory,65776,20945,0,376539,31.815,2127310848
77.094344,building index: loading tuples in memory,65776,21134,0,379800,32.091,2131247104
77.735019,building index: loading tuples in memory,65776,21258,0,383034,32.364,2131865600
78.442673,building index: loading tuples in memory,65776,21509,0,386156,32.628,2135547904
79.059593,building index: loading tuples in memory,65776,21599,0,389275,32.891,2135678976
79.681267,building index: loading tuples in memory,65776,21753,0,392433,33.158,2135494656
80.290343,building index: loading tuples in memory,65776,21938,0,395517,33.419,2140229632
80.906093,building index: loading tuples in memory,65776,22126,0,398818,33.698,2139860992
81.517547,building index: loading tuples in memory,65776,22347,0,402101,33.975,2139566080
82.127025,building index: loading tuples in memory,65776,22533,0,405235,34.24,2143813632
82.746557,building index: loading tuples in memory,65776,22721,0,408429,34.51,2144219136
83.352639,building index: loading tuples in memory,65776,22844,0,411555,34.774,2144051200
83.952279,building index: loading tuples in memory,65776,23028,0,414583,35.03,2148749312
84.621336,building index: loading tuples in memory,65776,23177,0,417461,35.273,2148413440
85.287037,building index: loading tuples in memory,65776,23283,0,419664,35.459,2148577280
85.922586,building index: loading tuples in memory,65776,23390,0,422030,35.659,2152681472
86.537203,building index: loading tuples in memory,65776,23573,0,425012,35.911,2152722432
87.158493,building index: loading tuples in memory,65776,23759,0,428127,36.174,2152689664
87.763217,building index: loading tuples in memory,65776,23947,0,431367,36.448,2152800256
