elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,tuple_progress_percent,container_memory_bytes
0.005421,building index: loading tuples in memory,1852,1,0,44,0.088,148975616
0.668014,building index: loading tuples in memory,1852,97,0,2621,5.242,151449600
1.349026,building index: loading tuples in memory,1852,181,0,4889,9.778,153661440
2.036362,building index: loading tuples in memory,1852,260,0,7045,14.09,156069888
2.703658,building index: loading tuples on disk,1852,326,0,8818,17.636,160743424
3.348151,building index: loading tuples on disk,1852,346,0,9362,18.724,161419264
4.000667,building index: loading tuples on disk,1852,364,0,9841,19.682,162103296
4.670217,building index: loading tuples on disk,1852,380,0,10271,20.542,162443264
5.352471,building index: loading tuples on disk,1852,394,0,10647,21.294,162701312
6.03174,building index: loading tuples on disk,1852,407,0,11003,22.006,162803712
6.762342,building index: loading tuples on disk,1852,421,0,11377,22.754,163459072
7.641392,building index: loading tuples on disk,1852,435,0,11764,23.528,163995648
8.322792,building index: loading tuples on disk,1852,451,0,12180,24.36,164438016
8.986324,building index: loading tuples on disk,1852,465,0,12561,25.122,164921344
9.650403,building index: loading tuples on disk,1852,476,0,12863,25.726,165048320
10.358677,building index: loading tuples on disk,1852,485,0,13115,26.23,167923712
11.274237,building index: loading tuples on disk,1852,492,0,13288,26.576,168275968
12.064526,building index: loading tuples on disk,1852,503,0,13587,27.174,168419328
12.763494,building index: loading tuples on disk,1852,514,0,13879,27.758,168906752
13.468315,building index: loading tuples on disk,1852,528,0,14269,28.538,169046016
14.130513,building index: loading tuples on disk,1852,544,0,14693,29.386,169857024
14.806416,building index: loading tuples on disk,1852,561,0,15155,30.31,170164224
15.448117,building index: loading tuples on disk,1852,578,0,15621,31.242,170762240
16.087804,building index: loading tuples on disk,1852,596,0,16109,32.218,171130880
16.722829,building index: loading tuples on disk,1852,611,0,16519,33.038,171638784
17.387926,building index: loading tuples on disk,1852,625,0,16890,33.78,172535808
18.098392,building index: loading tuples on disk,1852,637,0,17202,34.404,173490176
18.807343,building index: loading tuples on disk,1852,647,0,17492,34.984,173637632
19.539444,building index: loading tuples on disk,1852,656,0,17725,35.45,173756416
20.237715,building index: loading tuples on disk,1852,669,0,18080,36.16,174108672
20.881885,building index: loading tuples on disk,1852,686,0,18533,37.066,174813184
21.529801,building index: loading tuples on disk,1852,702,0,18961,37.922,175460352
22.242427,building index: loading tuples on disk,1852,719,0,19422,38.844,175878144
22.883952,building index: loading tuples on disk,1852,733,0,19817,39.634,176025600
23.541759,building index: loading tuples on disk,1852,746,0,20160,40.32,177090560
24.233332,building index: loading tuples on disk,1852,757,0,20443,40.886,177106944
24.947343,building index: loading tuples on disk,1852,767,0,20715,41.43,177188864
25.649781,building index: loading tuples on disk,1852,777,0,21005,42.01,177942528
26.35811,building index: loading tuples on disk,1852,790,0,21346,42.692,178081792
27.016225,building index: loading tuples on disk,1852,805,0,21760,43.52,179023872
27.710127,building index: loading tuples on disk,1852,818,0,22112,44.224,178974720
28.40004,building index: loading tuples on disk,1852,831,0,22453,44.906,179208192
29.068901,building index: loading tuples on disk,1852,846,0,22850,45.7,179941376
29.737564,building index: loading tuples on disk,1852,858,0,23188,46.376,179965952
30.408406,building index: loading tuples on disk,1852,870,0,23515,47.03,180506624
31.115598,building index: loading tuples on disk,1852,881,0,23796,47.592,180944896
31.82248,building index: loading tuples on disk,1852,892,0,24107,48.214,180817920
32.516749,building index: loading tuples on disk,1852,903,0,24386,48.772,181604352
33.206556,building index: loading tuples on disk,1852,916,0,24752,49.504,181776384
33.909919,building index: loading tuples on disk,1852,931,0,25151,50.302,182382592
34.579949,building index: loading tuples on disk,1852,945,0,25519,51.038,124342272
35.367067,building index: loading tuples on disk,1852,961,0,25947,51.894,125042688
36.051581,building index: loading tuples on disk,1852,972,0,26262,52.524,125952000
36.726337,building index: loading tuples on disk,1852,982,0,26530,53.06,126410752
37.450063,building index: loading tuples on disk,1852,991,0,26775,53.55,126435328
38.215809,building index: loading tuples on disk,1852,1000,0,27008,54.016,126328832
38.970906,building index: loading tuples on disk,1852,1010,0,27274,54.548,126771200
39.664089,building index: loading tuples on disk,1852,1024,0,27663,55.326,127291392
40.316529,building index: loading tuples on disk,1852,1038,0,28031,56.062,127647744
40.966872,building index: loading tuples on disk,1852,1051,0,28377,56.754,128028672
41.627719,building index: loading tuples on disk,1852,1066,0,28802,57.604,128401408
42.256112,building index: loading tuples on disk,1852,1081,0,29205,58.41,129101824
42.895453,building index: loading tuples on disk,1852,1093,0,29532,59.064,129826816
43.570222,building index: loading tuples on disk,1852,1104,0,29821,59.642,129904640
44.277036,building index: loading tuples on disk,1852,1111,0,30004,60.008,129937408
45.200703,building index: loading tuples on disk,1852,1121,0,30273,60.546,130428928
45.929157,building index: loading tuples on disk,1852,1130,0,30511,61.022,130523136
46.646506,building index: loading tuples on disk,1852,1143,0,30866,61.732,131096576
47.286753,building index: loading tuples on disk,1852,1156,0,31232,62.464,131248128
47.920226,building index: loading tuples on disk,1852,1172,0,31648,63.296,132321280
48.540267,building index: loading tuples on disk,1852,1185,0,32011,64.022,132554752
49.207543,building index: loading tuples on disk,1852,1196,0,32307,64.614,132837376
49.907017,building index: loading tuples on disk,1852,1204,0,32520,65.04,132706304
50.705813,building index: loading tuples on disk,1852,1211,0,32719,65.438,133222400
51.434963,building index: loading tuples on disk,1852,1219,0,32924,65.848,133435392
52.160251,building index: loading tuples on disk,1852,1227,0,33145,66.29,133693440
52.878225,building index: loading tuples on disk,1852,1238,0,33450,66.9,133894144
53.545449,building index: loading tuples on disk,1852,1252,0,33826,67.652,134717440
54.183255,building index: loading tuples on disk,1852,1267,0,34210,68.42,134696960
54.831851,building index: loading tuples on disk,1852,1280,0,34580,69.16,135094272
55.469066,building index: loading tuples on disk,1852,1290,0,34830,69.66,136101888
56.146652,building index: loading tuples on disk,1852,1297,0,35019,70.038,136265728
56.896852,building index: loading tuples on disk,1852,1306,0,35283,70.566,136552448
57.599729,building index: loading tuples on disk,1852,1319,0,35631,71.262,137224192
58.226057,building index: loading tuples on disk,1852,1334,0,36026,72.052,137531392
58.84075,building index: loading tuples on disk,1852,1353,0,36548,73.096,138096640
59.438628,building index: loading tuples on disk,1852,1377,0,37184,74.368,138145792
60.022745,building index: loading tuples on disk,1852,1402,0,37867,75.734,139177984
60.611956,building index: loading tuples on disk,1852,1427,0,38555,77.11,140189696
61.198172,building index: loading tuples on disk,1852,1455,0,39287,78.574,141066240
61.783914,building index: loading tuples on disk,1852,1483,0,40047,80.094,141737984
62.371966,building index: loading tuples on disk,1852,1507,0,40691,81.382,142491648
62.962676,building index: loading tuples on disk,1852,1527,0,41255,82.51,143310848
63.568545,building index: loading tuples on disk,1852,1549,0,41829,83.658,143499264
64.163418,building index: loading tuples on disk,1852,1570,0,42404,84.808,144396288
64.773909,building index: loading tuples on disk,1852,1591,0,42981,85.962,144949248
65.378467,building index: loading tuples on disk,1852,1611,0,43508,87.016,145633280
65.974219,building index: loading tuples on disk,1852,1634,0,44131,88.262,146608128
66.570495,building index: loading tuples on disk,1852,1657,0,44763,89.526,147447808
